DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,AAR,2019-02-13,€5.000000,147.500000 kg,19.400000 L,508 km
AAR,SXF,2019-02-22,€5.000000,147.500000 kg,19.400000 L,508 km
SXF,LBG,2019-02-22,€7.000000,271.260000 kg,28.390000 L,921 km
LBG,SXF,2019-03-16,€7.000000,271.260000 kg,28.390000 L,921 km
SXF,HHR,2019-03-16,€70.000000,3037.920000 kg,261.270000 L,9394 km
HHR,PHX,2019-03-17,€5.000000,184.620000 kg,21.880000 L,637 km
PHX,SXF,2019-04-02,€68.000000,2946.040000 kg,253.490000 L,9161 km
SXF,YHU,2019-04-02,€41.000000,1765.650000 kg,153.480000 L,6088 km
YHU,SXF,2019-07-11,€41.000000,1765.650000 kg,153.480000 L,6088 km
SXF,BIO,2019-07-11,€11.000000,454.340000 kg,43.200000 L,1641 km
BIO,SXF,2019-07-19,€11.000000,454.340000 kg,43.200000 L,1641 km
SXF,CLJ,2019-07-19,€7.000000,300.850000 kg,30.770000 L,1019 km
CLJ,SXF,2019-08-23,€7.000000,300.850000 kg,30.770000 L,1019 km
SXF,LCY,2019-08-23,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-09-24,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,AMS,2019-10-09,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-11-22,€5.000000,186.040000 kg,21.980000 L,642 km
