DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,HND,2019-01-05,€67.000000,2878.300000 kg,247.750000 L,8989 km
HND,SXF,2019-02-16,€67.000000,2878.300000 kg,247.750000 L,8989 km
SXF,LHR,2019-03-29,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,ARN,2019-03-30,€10.000000,403.000000 kg,38.730000 L,1511 km
ARN,SXF,2019-04-06,€7.000000,261.670000 kg,27.620000 L,891 km
SXF,MHG,2019-04-06,€5.000000,155.530000 kg,19.940000 L,536 km
MHG,SXF,2019-04-12,€5.000000,155.530000 kg,19.940000 L,536 km
SXF,PSP,2019-04-12,€70.000000,3009.940000 kg,258.900000 L,9323 km
PSP,LGA,2019-04-20,€23.000000,984.030000 kg,87.200000 L,3864 km
LGA,FLR,2019-04-30,€46.000000,1998.600000 kg,173.250000 L,6737 km
FLR,SXF,2019-05-11,€7.000000,304.330000 kg,31.050000 L,1033 km
SXF,CIA,2019-05-11,€9.000000,356.520000 kg,35.270000 L,1245 km
CIA,SXF,2019-05-17,€9.000000,356.520000 kg,35.270000 L,1245 km
SXF,VIE,2019-05-17,€5.000000,164.440000 kg,20.530000 L,567 km
VIE,MHG,2019-05-18,€5.000000,185.830000 kg,21.960000 L,641 km
MHG,SXF,2019-05-24,€5.000000,155.530000 kg,19.940000 L,536 km
SXF,POW,2019-05-24,€6.000000,241.560000 kg,26.010000 L,827 km
POW,LHR,2019-05-26,€9.000000,364.620000 kg,35.930000 L,1277 km
LHR,SXF,2019-05-30,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,BCN,2019-05-30,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,LPL,2019-05-31,€10.000000,404.640000 kg,39.170000 L,1439 km
LPL,SXF,2019-06-03,€8.000000,333.200000 kg,33.380000 L,1150 km
SXF,IBZ,2019-06-03,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-06-06,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,OPO,2019-06-06,€14.000000,576.830000 kg,53.200000 L,2143 km
OPO,FRA,2019-06-07,€10.000000,404.000000 kg,38.220000 L,1700 km
FRA,DTM,2019-06-09,€5.000000,47.400000 kg,12.000000 L,232 km
DTM,SXF,2019-06-15,€5.000000,135.750000 kg,18.680000 L,478 km
SXF,TXL,2019-06-15,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-06-22,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,MUC,2019-06-22,€5.000000,153.110000 kg,19.780000 L,528 km
MUC,SXF,2019-06-29,€5.000000,153.110000 kg,19.780000 L,528 km
SXF,AMS,2019-06-29,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-07-05,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,EIN,2019-07-05,€5.000000,179.280000 kg,21.520000 L,619 km
EIN,PEG,2019-07-06,€8.000000,326.430000 kg,32.840000 L,1123 km
PEG,TRN,2019-07-07,€5.000000,142.620000 kg,19.090000 L,494 km
TRN,SXF,2019-07-12,€7.000000,290.650000 kg,29.940000 L,983 km
SXF,CRL,2019-07-12,€5.000000,208.470000 kg,23.470000 L,720 km
CRL,SXF,2019-07-18,€5.000000,208.470000 kg,23.470000 L,720 km
SXF,IBZ,2019-07-18,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-07-23,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,JMK,2019-07-23,€13.000000,534.040000 kg,49.650000 L,1963 km
JMK,SXF,2019-07-26,€13.000000,534.040000 kg,49.650000 L,1963 km
SXF,LUG,2019-07-26,€6.000000,246.540000 kg,26.410000 L,843 km
