DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CRL,LHR,2019-01-19,€5.000000,107.980000 kg,17.020000 L,412 km
LHR,CRL,2019-02-08,€5.000000,107.980000 kg,17.020000 L,412 km
CRL,BTS,2019-02-08,€7.000000,298.460000 kg,30.570000 L,1009 km
BTS,CRL,2019-02-28,€7.000000,298.460000 kg,30.570000 L,1009 km
CRL,ANR,2019-02-28,€5.000000,27.610000 kg,6.980000 L,135 km
ANR,CRL,2019-03-08,€5.000000,27.610000 kg,6.980000 L,135 km
CRL,LHR,2019-03-08,€5.000000,107.980000 kg,17.020000 L,412 km
CRL,EMA,2019-03-28,€5.000000,153.540000 kg,19.810000 L,529 km
EMA,MAN,2019-03-30,€5.000000,27.670000 kg,7.000000 L,135 km
MAN,CRL,2019-04-12,€5.000000,177.850000 kg,21.430000 L,614 km
CRL,TXL,2019-04-12,€5.000000,205.190000 kg,23.260000 L,708 km
TXL,CRL,2019-04-19,€5.000000,205.190000 kg,23.260000 L,708 km
CRL,LHR,2019-04-19,€5.000000,107.980000 kg,17.020000 L,412 km
LHR,FRL,2019-04-20,€9.000000,366.280000 kg,36.060000 L,1284 km
FRL,CRL,2019-04-26,€7.000000,280.060000 kg,29.100000 L,949 km
CRL,CDG,2019-04-26,€5.000000,52.790000 kg,13.070000 L,256 km
CDG,LPL,2019-04-27,€5.000000,191.380000 kg,22.330000 L,661 km
LPL,CRL,2019-05-03,€5.000000,187.380000 kg,22.070000 L,647 km
CRL,VIE,2019-05-03,€7.000000,279.090000 kg,29.020000 L,946 km
VIE,CRL,2019-05-11,€7.000000,279.090000 kg,29.020000 L,946 km
CRL,LIS,2019-05-11,€11.000000,476.160000 kg,44.960000 L,1729 km
LIS,CRL,2019-05-18,€11.000000,476.160000 kg,44.960000 L,1729 km
CRL,JLD,2019-05-18,€7.000000,267.680000 kg,28.110000 L,910 km
JLD,CRL,2019-05-29,€7.000000,267.680000 kg,28.110000 L,910 km
CRL,LEJ,2019-05-29,€5.000000,179.750000 kg,21.560000 L,620 km
LEJ,CRL,2019-06-07,€5.000000,179.750000 kg,21.560000 L,620 km
CRL,CHQ,2019-06-07,€15.000000,624.220000 kg,57.150000 L,2343 km
CHQ,CRL,2019-06-21,€15.000000,624.220000 kg,57.150000 L,2343 km
CRL,FLR,2019-06-21,€7.000000,279.130000 kg,29.020000 L,946 km
FLR,CRL,2019-07-27,€7.000000,279.130000 kg,29.020000 L,946 km
CRL,LCC,2019-07-27,€11.000000,445.220000 kg,42.460000 L,1604 km
LCC,CRL,2019-08-03,€11.000000,445.220000 kg,42.460000 L,1604 km
CRL,HEM,2019-08-03,€12.000000,479.160000 kg,45.210000 L,1741 km
HEM,CRL,2019-08-08,€12.000000,479.160000 kg,45.210000 L,1741 km
CRL,LHR,2019-08-08,€5.000000,107.980000 kg,17.020000 L,412 km
LHR,CRL,2019-08-18,€5.000000,107.980000 kg,17.020000 L,412 km
CRL,LHR,2019-08-18,€5.000000,107.980000 kg,17.020000 L,412 km
LHR,CRL,2019-08-24,€5.000000,107.980000 kg,17.020000 L,412 km
CRL,YHU,2019-08-24,€38.000000,1608.740000 kg,140.170000 L,5651 km
YHU,TXL,2019-08-28,€41.000000,1759.980000 kg,153.000000 L,6072 km
TXL,CRL,2019-09-13,€5.000000,205.190000 kg,23.260000 L,708 km
MEL,SYD,2019-09-14,€112.000000,4837.000000 kg,414.430000 L,11694 km
SYD,HND,2019-09-20,€106.000000,4602.000000 kg,394.170000 L,12102 km
HND,LHR,2019-10-04,€73.000000,3139.550000 kg,269.870000 L,9651 km
MAN,CRL,2019-10-17,€5.000000,177.850000 kg,21.430000 L,614 km
CRL,MAD,2019-10-17,€9.000000,375.050000 kg,36.770000 L,1320 km
MAD,CRL,2019-10-25,€9.000000,375.050000 kg,36.770000 L,1320 km
CRL,BCN,2019-10-25,€8.000000,316.000000 kg,31.990000 L,1080 km
BCN,CRL,2019-11-15,€8.000000,316.000000 kg,31.990000 L,1080 km
CRL,CDG,2019-11-15,€5.000000,52.790000 kg,13.070000 L,256 km
CDG,CRL,2019-12-05,€5.000000,52.790000 kg,13.070000 L,256 km
CRL,LHR,2019-12-05,€5.000000,107.980000 kg,17.020000 L,412 km
LHR,CRL,2019-12-14,€5.000000,107.980000 kg,17.020000 L,412 km
CRL,CDG,2019-12-14,€5.000000,52.790000 kg,13.070000 L,256 km
CDG,HAM,2019-12-15,€5.000000,214.000000 kg,23.540000 L,777 km
HAM,CRL,2019-12-20,€5.000000,165.730000 kg,20.620000 L,571 km
CRL,BRU,2019-12-20,€5.000000,21.260000 kg,5.380000 L,104 km
BRU,CRL,2019-12-31,€5.000000,21.260000 kg,5.380000 L,104 km
