DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,TXL,2019-01-01,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-02-02,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LBG,2019-02-02,€7.000000,271.260000 kg,28.390000 L,921 km
LBG,SXF,2019-02-16,€7.000000,271.260000 kg,28.390000 L,921 km
SXF,TXL,2019-02-16,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-03-09,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-03-09,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-03-22,€5.000000,13.420000 kg,3.390000 L,65 km
LED,SXF,2019-03-29,€9.000000,390.000000 kg,37.970000 L,1370 km
SXF,LBG,2019-03-29,€7.000000,271.260000 kg,28.390000 L,921 km
LBG,SXF,2019-04-13,€7.000000,271.260000 kg,28.390000 L,921 km
SXF,TXL,2019-04-13,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-18,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LCY,2019-04-18,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-05-25,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,SSN,2019-05-25,€59.000000,2561.170000 kg,220.900000 L,8186 km
SSN,LBG,2019-06-07,€67.000000,2888.790000 kg,248.640000 L,9016 km
LBG,SXF,2019-06-15,€7.000000,271.260000 kg,28.390000 L,921 km
SXF,TXL,2019-06-15,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-07-06,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-07-06,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-08-10,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-08-10,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-09-13,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LBG,2019-09-13,€7.000000,271.260000 kg,28.390000 L,921 km
EOH,SXF,2019-10-19,€71.000000,3063.500000 kg,263.440000 L,9459 km
SXF,LCY,2019-10-19,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-10-26,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,TXL,2019-10-26,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-11-02,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,OBF,2019-11-02,€5.000000,164.220000 kg,20.520000 L,566 km
OBF,SXF,2019-11-22,€5.000000,164.220000 kg,20.520000 L,566 km
SXF,VIY,2019-11-22,€7.000000,280.040000 kg,29.100000 L,949 km
VIY,SXF,2019-11-30,€7.000000,280.040000 kg,29.100000 L,949 km
SXF,TXL,2019-11-30,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-12-14,€5.000000,13.420000 kg,3.390000 L,65 km
