DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BCN,MAD,2019-01-01,€5.000000,126.000000 kg,16.200000 L,531 km
MAD,BCN,2019-02-01,€5.000000,126.000000 kg,16.200000 L,531 km
BCN,EZE,2019-02-01,€82.000000,3564.000000 kg,305.820000 L,10522 km
LHR,HOU,2019-02-22,€56.000000,2427.440000 kg,209.580000 L,7847 km
HOU,LGA,2019-02-23,€15.000000,625.640000 kg,57.270000 L,2349 km
LGA,OTP,2019-03-01,€55.000000,2365.510000 kg,204.330000 L,7690 km
OTP,BCN,2019-03-08,€11.000000,444.000000 kg,41.010000 L,2031 km
BCN,CLJ,2019-03-08,€12.000000,512.380000 kg,47.890000 L,1876 km
CLJ,BCN,2019-03-15,€12.000000,512.380000 kg,47.890000 L,1876 km
BCN,SDQ,2019-03-15,€51.000000,2186.870000 kg,189.210000 L,7237 km
SDQ,CLT,2019-03-22,€14.000000,592.470000 kg,54.500000 L,2209 km
CLT,LAS,2019-03-23,€16.000000,670.000000 kg,60.000000 L,3125 km
LAS,LHR,2019-03-29,€59.000000,2534.000000 kg,218.480000 L,8443 km
LHR,TSR,2019-04-05,€12.000000,484.790000 kg,45.660000 L,1764 km
TSR,BCN,2019-04-11,€11.000000,462.070000 kg,43.820000 L,1672 km
BCN,CZM,2019-04-11,€62.000000,2685.370000 kg,231.420000 L,8500 km
CZM,LHR,2019-04-13,€58.000000,2510.700000 kg,216.630000 L,8058 km
LHR,BCN,2019-04-19,€7.000000,297.000000 kg,29.620000 L,1197 km
BCN,TFS,2019-04-20,€12.000000,513.000000 kg,46.830000 L,2292 km
TFS,BRS,2019-04-21,€18.000000,754.530000 kg,68.040000 L,2894 km
BRS,BCN,2019-04-27,€9.000000,353.030000 kg,34.990000 L,1230 km
BCN,MEX,2019-04-27,€68.000000,2944.000000 kg,253.160000 L,9524 km
MEX,TXL,2019-05-01,€74.000000,3188.670000 kg,274.030000 L,9776 km
TXL,BCN,2019-05-11,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,FRA,2019-05-11,€7.000000,275.000000 kg,27.590000 L,1143 km
FRA,BCN,2019-05-17,€7.000000,275.000000 kg,27.590000 L,1143 km
SYD,MEL,2019-05-18,€106.000000,4602.000000 kg,394.170000 L,12102 km
MEL,SYD,2019-05-19,€112.000000,4837.000000 kg,414.430000 L,11694 km
IBZ,DCA,2019-05-24,€45.000000,1954.050000 kg,169.470000 L,6612 km
DCA,SWF,2019-05-25,€5.000000,119.980000 kg,17.740000 L,440 km
SWF,YQG,2019-05-26,€6.000000,231.630000 kg,25.220000 L,796 km
YTZ,LHR,2019-06-01,€38.000000,1645.060000 kg,143.250000 L,5752 km
LHR,GRU,2019-06-06,€69.000000,2967.000000 kg,255.180000 L,9503 km
GRU,NVT,2019-06-08,€5.000000,104.000000 kg,13.920000 L,491 km
NVT,LHR,2019-06-15,€76.000000,3262.520000 kg,280.290000 L,9963 km
LHR,BCN,2019-06-19,€7.000000,297.000000 kg,29.620000 L,1197 km
BCN,IBZ,2019-06-19,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,BCN,2019-06-22,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,MXP,2019-06-22,€6.000000,229.000000 kg,25.310000 L,769 km
MXP,BCN,2019-06-29,€6.000000,229.000000 kg,25.310000 L,769 km
BCN,IBZ,2019-06-29,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,BCN,2019-06-30,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,IBZ,2019-07-03,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,BCN,2019-07-06,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,STR,2019-07-06,€7.000000,272.000000 kg,27.840000 L,1045 km
STR,RLG,2019-07-07,€5.000000,194.200000 kg,22.520000 L,670 km
RLG,BCN,2019-07-11,€11.000000,455.580000 kg,43.300000 L,1646 km
BCN,IBZ,2019-07-11,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,TLS,2019-07-13,€5.000000,167.690000 kg,20.750000 L,578 km
TLS,BCN,2019-07-17,€5.000000,57.000000 kg,14.430000 L,317 km
BCN,IBZ,2019-07-17,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,RTM,2019-07-19,€10.000000,425.900000 kg,40.890000 L,1525 km
RTM,BCN,2019-07-27,€9.000000,357.490000 kg,35.350000 L,1248 km
BCN,EDI,2019-07-27,€10.000000,398.000000 kg,37.460000 L,1727 km
EDI,IBZ,2019-07-29,€13.000000,538.880000 kg,50.040000 L,1983 km
IBZ,BCN,2019-08-07,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,JMK,2019-08-07,€13.000000,564.660000 kg,52.180000 L,2091 km
JMK,BUD,2019-08-08,€9.000000,362.800000 kg,35.780000 L,1270 km
BUD,AMS,2019-08-10,€8.000000,335.000000 kg,33.160000 L,1217 km
AMS,BCN,2019-08-14,€9.000000,381.000000 kg,37.460000 L,1291 km
BCN,TNG,2019-08-14,€7.000000,274.000000 kg,28.350000 L,979 km
TNG,IBZ,2019-08-15,€6.000000,221.700000 kg,24.420000 L,764 km
IBZ,BCN,2019-08-23,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,IBZ,2019-08-24,€5.000000,47.000000 kg,11.890000 L,324 km
