DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
PMI,LCY,2019-01-13,€10.000000,431.000000 kg,41.770000 L,1394 km
LCY,PMI,2019-01-25,€10.000000,431.000000 kg,41.770000 L,1394 km
PMI,EIN,2019-01-25,€10.000000,392.460000 kg,38.180000 L,1390 km
EIN,PMI,2019-02-01,€10.000000,392.460000 kg,38.180000 L,1390 km
PMI,TXL,2019-02-01,€9.000000,361.000000 kg,34.170000 L,1703 km
TXL,PMI,2019-02-15,€9.000000,361.000000 kg,34.170000 L,1703 km
PMI,GVA,2019-02-15,€8.000000,311.000000 kg,33.410000 L,840 km
GVA,PMI,2019-02-22,€8.000000,311.000000 kg,33.410000 L,840 km
PMI,TLL,2019-02-22,€17.000000,721.260000 kg,65.260000 L,2753 km
TLL,TXL,2019-02-23,€8.000000,338.000000 kg,34.170000 L,1093 km
TXL,PMI,2019-03-02,€9.000000,361.000000 kg,34.170000 L,1703 km
PMI,BUD,2019-03-02,€11.000000,454.200000 kg,43.180000 L,1640 km
BUD,PMI,2019-03-08,€11.000000,454.200000 kg,43.180000 L,1640 km
PMI,BFI,2019-03-08,€67.000000,2872.050000 kg,247.230000 L,8973 km
BFI,SFO,2019-03-09,€8.000000,334.030000 kg,33.450000 L,1153 km
SFO,AUS,2019-03-12,€18.000000,745.000000 kg,67.840000 L,2466 km
AUS,YTZ,2019-03-14,€14.000000,600.620000 kg,55.180000 L,2243 km
YTZ,YND,2019-03-15,€5.000000,106.290000 kg,16.920000 L,408 km
YND,SAN,2019-03-23,€23.000000,981.900000 kg,87.020000 L,3855 km
PER,SYD,2019-03-30,€22.000000,948.000000 kg,84.550000 L,3325 km
SYD,MEB,2019-04-07,€6.000000,218.980000 kg,24.200000 L,756 km
PMI,GVA,2019-04-26,€8.000000,311.000000 kg,33.410000 L,840 km
GVA,PMI,2019-04-30,€8.000000,311.000000 kg,33.410000 L,840 km
PMI,BMA,2019-04-30,€16.000000,661.440000 kg,60.260000 L,2500 km
BMA,PMI,2019-05-11,€16.000000,661.440000 kg,60.260000 L,2500 km
PMI,EIN,2019-05-11,€10.000000,392.460000 kg,38.180000 L,1390 km
EIN,PMI,2019-05-22,€10.000000,392.460000 kg,38.180000 L,1390 km
PMI,IBZ,2019-05-22,€5.000000,26.000000 kg,6.580000 L,190 km
IBZ,HND,2019-05-24,€85.000000,3659.280000 kg,313.910000 L,10765 km
HND,QPG,2019-05-25,€35.000000,1504.630000 kg,131.330000 L,5361 km
QPG,PMI,2019-05-31,€87.000000,3740.660000 kg,320.810000 L,10928 km
PMI,ESS,2019-06-01,€10.000000,397.700000 kg,38.610000 L,1411 km
ESS,PMI,2019-06-29,€10.000000,397.700000 kg,38.610000 L,1411 km
PMI,BUR,2019-06-29,€75.000000,3232.140000 kg,277.710000 L,9886 km
BUR,MCF,2019-07-03,€21.000000,899.380000 kg,80.130000 L,3506 km
MCF,DCA,2019-07-04,€9.000000,386.860000 kg,37.730000 L,1367 km
DCA,LGA,2019-07-06,€5.000000,91.000000 kg,14.680000 L,393 km
LGA,PMI,2019-07-27,€43.000000,1858.210000 kg,161.340000 L,6346 km
PMI,BRS,2019-07-27,€10.000000,403.040000 kg,39.040000 L,1433 km
BRS,PMI,2019-08-23,€10.000000,403.040000 kg,39.040000 L,1433 km
PMI,OBF,2019-08-23,€9.000000,350.490000 kg,34.790000 L,1220 km
OBF,PMI,2019-08-31,€9.000000,350.490000 kg,34.790000 L,1220 km
PMI,LUX,2019-08-31,€7.000000,287.000000 kg,28.350000 L,1201 km
LUX,PMI,2019-09-11,€7.000000,287.000000 kg,28.350000 L,1201 km
PMI,IBZ,2019-09-11,€5.000000,26.000000 kg,6.580000 L,190 km
IBZ,PMI,2019-10-19,€5.000000,26.000000 kg,6.580000 L,190 km
PMI,AMS,2019-10-19,€9.000000,349.000000 kg,33.410000 L,1474 km
AMS,PMI,2019-10-26,€9.000000,349.000000 kg,33.410000 L,1474 km
PMI,LCY,2019-10-26,€10.000000,431.000000 kg,41.770000 L,1394 km
LCY,PMI,2019-11-16,€10.000000,431.000000 kg,41.770000 L,1394 km
PMI,MAD,2019-11-16,€5.000000,141.000000 kg,16.960000 L,596 km
MAD,PMI,2019-11-27,€5.000000,141.000000 kg,16.960000 L,596 km
PMI,NZY,2019-11-27,€75.000000,3251.600000 kg,279.360000 L,9935 km
NZY,VGO,2019-12-05,€67.000000,2886.730000 kg,248.470000 L,9011 km
VGO,PMI,2019-12-27,€8.000000,308.210000 kg,31.360000 L,1049 km
