DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
FZO,LCY,2019-02-02,€5.000000,47.650000 kg,12.060000 L,233 km
LCY,FZO,2019-02-22,€5.000000,47.650000 kg,12.060000 L,233 km
FZO,BRS,2019-02-22,€5.000000,13.450000 kg,3.400000 L,65 km
BRS,FZO,2019-03-15,€5.000000,13.450000 kg,3.400000 L,65 km
FZO,MEX,2019-03-15,€65.000000,2813.000000 kg,242.230000 L,8824 km
MEX,TXL,2019-03-19,€74.000000,3188.670000 kg,274.030000 L,9776 km
TXL,FZO,2019-03-23,€8.000000,331.070000 kg,33.210000 L,1142 km
FZO,LCY,2019-03-23,€5.000000,47.650000 kg,12.060000 L,233 km
LCY,FZO,2019-03-30,€5.000000,47.650000 kg,12.060000 L,233 km
FZO,BRS,2019-03-30,€5.000000,13.450000 kg,3.400000 L,65 km
BRS,FZO,2019-04-21,€5.000000,13.450000 kg,3.400000 L,65 km
FZO,LCY,2019-04-21,€5.000000,47.650000 kg,12.060000 L,233 km
LCY,FZO,2019-05-04,€5.000000,47.650000 kg,12.060000 L,233 km
FZO,LBA,2019-05-04,€5.000000,70.490000 kg,14.700000 L,320 km
LBA,FZO,2019-05-11,€5.000000,70.490000 kg,14.700000 L,320 km
FZO,SFO,2019-05-11,€63.000000,2713.270000 kg,233.780000 L,8571 km
SFO,FZO,2019-06-15,€63.000000,2713.270000 kg,233.780000 L,8571 km
FZO,HRT,2019-06-15,€5.000000,80.500000 kg,15.380000 L,347 km
HRT,FZO,2019-07-17,€5.000000,80.500000 kg,15.380000 L,347 km
FZO,BCN,2019-07-17,€9.000000,355.290000 kg,35.170000 L,1240 km
BCN,FZO,2019-08-03,€9.000000,355.290000 kg,35.170000 L,1240 km
FZO,BRU,2019-08-03,€5.000000,158.590000 kg,20.140000 L,547 km
BRU,FZO,2019-08-07,€5.000000,158.590000 kg,20.140000 L,547 km
FZO,SXF,2019-08-07,€8.000000,334.570000 kg,33.500000 L,1156 km
SXF,FZO,2019-09-20,€8.000000,334.570000 kg,33.500000 L,1156 km
FZO,BRS,2019-09-20,€5.000000,13.450000 kg,3.400000 L,65 km
BRS,FZO,2019-09-27,€5.000000,13.450000 kg,3.400000 L,65 km
FZO,TXL,2019-09-27,€8.000000,331.070000 kg,33.210000 L,1142 km
TXL,FZO,2019-10-05,€8.000000,331.070000 kg,33.210000 L,1142 km
FZO,ESH,2019-10-05,€5.000000,46.280000 kg,11.710000 L,226 km
ESH,FZO,2019-11-01,€5.000000,46.280000 kg,11.710000 L,226 km
FZO,MAN,2019-11-01,€5.000000,52.940000 kg,13.080000 L,257 km
MAN,FZO,2019-11-07,€5.000000,52.940000 kg,13.080000 L,257 km
FZO,EBU,2019-11-07,€7.000000,263.510000 kg,27.770000 L,897 km
FZO,EMA,2019-11-29,€5.000000,45.240000 kg,11.450000 L,221 km
EMA,FZO,2019-12-07,€5.000000,45.240000 kg,11.450000 L,221 km
FZO,LCY,2019-12-07,€5.000000,47.650000 kg,12.060000 L,233 km
LCY,FZO,2019-12-27,€5.000000,47.650000 kg,12.060000 L,233 km
SYD,FZO,2019-12-28,€106.000000,4602.000000 kg,394.170000 L,12102 km
