DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CDG,SXB,2019-01-05,€5.000000,149.000000 kg,22.270000 L,427 km
SXB,CDG,2019-01-11,€5.000000,149.000000 kg,22.270000 L,427 km
CDG,ORY,2019-01-11,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,CDG,2019-03-30,€5.000000,17.450000 kg,4.410000 L,85 km
CDG,AMS,2019-03-30,€5.000000,111.000000 kg,15.940000 L,448 km
AMS,CDG,2019-04-12,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,BUD,2019-04-12,€8.000000,343.000000 kg,33.670000 L,1297 km
BUD,CDG,2019-05-17,€8.000000,343.000000 kg,33.670000 L,1297 km
CDG,CIA,2019-05-31,€8.000000,333.480000 kg,33.410000 L,1151 km
CIA,CDG,2019-07-12,€8.000000,333.480000 kg,33.410000 L,1151 km
CDG,TXL,2019-07-12,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,CDG,2019-08-08,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,TLL,2019-08-08,€12.000000,521.000000 kg,48.600000 L,1888 km
TLL,CDG,2019-08-14,€12.000000,521.000000 kg,48.600000 L,1888 km
CDG,MLA,2019-08-14,€11.000000,436.000000 kg,41.010000 L,1804 km
MLA,CDG,2019-08-22,€11.000000,436.000000 kg,41.010000 L,1804 km
CDG,OPO,2019-08-22,€10.000000,419.000000 kg,41.010000 L,1278 km
OPO,CDG,2019-11-07,€10.000000,419.000000 kg,41.010000 L,1278 km
CDG,EBU,2019-11-07,€5.000000,131.550000 kg,18.430000 L,468 km
EBU,CDG,2019-11-22,€5.000000,131.550000 kg,18.430000 L,468 km
