DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AKL,WLG,2019-01-26,€125.000000,5429.430000 kg,463.950000 L,14310 km
WLG,SYD,2019-02-02,€126.000000,5440.590000 kg,464.900000 L,14332 km
SYD,MEL,2019-02-09,€106.000000,4602.000000 kg,394.170000 L,12102 km
BUD,SXF,2019-02-20,€5.000000,216.140000 kg,23.990000 L,747 km
SXF,TXL,2019-02-20,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-02-23,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,CDG,2019-02-23,€7.000000,268.370000 kg,28.160000 L,912 km
CDG,SXF,2019-03-01,€7.000000,268.370000 kg,28.160000 L,912 km
SXF,HKG,2019-03-01,€65.000000,2805.050000 kg,241.550000 L,8804 km
HKG,HAN,2019-03-02,€5.000000,204.000000 kg,21.510000 L,893 km
HAN,PRG,2019-03-09,€61.000000,2642.140000 kg,227.760000 L,8391 km
PRG,SXF,2019-03-17,€5.000000,72.650000 kg,14.900000 L,328 km
SXF,GWY,2019-03-17,€10.000000,434.350000 kg,41.580000 L,1560 km
GWY,SXF,2019-03-30,€10.000000,434.350000 kg,41.580000 L,1560 km
SXF,GLA,2019-03-30,€9.000000,360.790000 kg,35.620000 L,1262 km
GLA,EDI,2019-03-31,€5.000000,21.750000 kg,5.500000 L,106 km
EDI,SXF,2019-04-13,€8.000000,347.560000 kg,34.550000 L,1208 km
SXF,CDG,2019-04-13,€7.000000,268.370000 kg,28.160000 L,912 km
CDG,SXF,2019-04-19,€7.000000,268.370000 kg,28.160000 L,912 km
SXF,BCN,2019-04-19,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,LEJ,2019-04-20,€10.000000,400.620000 kg,38.850000 L,1423 km
LEJ,SXF,2019-05-03,€5.000000,39.530000 kg,10.000000 L,193 km
SXF,WAT,2019-05-03,€10.000000,406.230000 kg,39.300000 L,1446 km
WAT,DUB,2019-05-05,€5.000000,40.540000 kg,10.260000 L,198 km
DUB,SXF,2019-06-01,€9.000000,388.500000 kg,37.860000 L,1374 km
SXF,AMS,2019-06-01,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-06-07,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,VIE,2019-06-07,€5.000000,164.440000 kg,20.530000 L,567 km
VIE,EIN,2019-06-08,€7.000000,268.700000 kg,28.190000 L,913 km
EIN,SXF,2019-06-22,€5.000000,179.280000 kg,21.520000 L,619 km
SXF,AMS,2019-06-22,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-06-26,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,YEO,2019-06-26,€8.000000,338.500000 kg,33.820000 L,1172 km
YEO,SXF,2019-07-03,€8.000000,338.500000 kg,33.820000 L,1172 km
SXF,ZAD,2019-07-03,€7.000000,294.590000 kg,30.260000 L,995 km
ZAD,SXF,2019-07-25,€7.000000,294.590000 kg,30.260000 L,995 km
SXF,BHD,2019-07-25,€9.000000,382.280000 kg,37.360000 L,1349 km
BHD,SXF,2019-08-08,€9.000000,382.280000 kg,37.360000 L,1349 km
SXF,KNF,2019-08-08,€7.000000,296.870000 kg,30.450000 L,1003 km
KNF,BCN,2019-08-10,€8.000000,341.730000 kg,34.080000 L,1185 km
BCN,SXF,2019-09-05,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,GNB,2019-09-05,€8.000000,307.170000 kg,31.280000 L,1045 km
GNB,LYN,2019-09-06,€5.000000,27.990000 kg,7.080000 L,137 km
LYN,SXF,2019-09-26,€7.000000,302.810000 kg,30.920000 L,1027 km
SXF,TXL,2019-09-26,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,MAN,2019-09-27,€8.000000,319.570000 kg,32.280000 L,1095 km
MAN,CWL,2019-09-28,€5.000000,59.030000 kg,13.650000 L,279 km
CWL,SXF,2019-10-04,€9.000000,347.990000 kg,34.580000 L,1210 km
SXF,LBA,2019-10-04,€8.000000,313.420000 kg,31.780000 L,1070 km
LBA,BCN,2019-10-05,€10.000000,413.630000 kg,39.900000 L,1476 km
BCN,SXF,2019-10-12,€11.000000,435.820000 kg,41.700000 L,1566 km
AMS,LHR,2019-10-19,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,SXF,2019-10-26,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,LHR,2019-10-26,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,SXF,2019-11-01,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,OBF,2019-11-02,€5.000000,164.220000 kg,20.520000 L,566 km
OBF,SXF,2019-11-08,€5.000000,164.220000 kg,20.520000 L,566 km
SXF,ORY,2019-11-08,€7.000000,277.190000 kg,28.870000 L,940 km
ORY,MAN,2019-11-09,€5.000000,190.970000 kg,22.310000 L,659 km
MAN,SXF,2019-11-15,€8.000000,323.340000 kg,32.590000 L,1110 km
SXF,BOD,2019-11-15,€10.000000,393.800000 kg,38.290000 L,1395 km
BOD,SXF,2019-12-04,€10.000000,393.800000 kg,38.290000 L,1395 km
SXF,TXL,2019-12-04,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-12-27,€5.000000,13.420000 kg,3.390000 L,65 km
