DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LHR,CDG,2019-01-04,€5.000000,87.000000 kg,13.920000 L,396 km
CDG,NAP,2019-01-05,€8.000000,316.000000 kg,30.880000 L,1337 km
NAP,LHR,2019-01-12,€11.000000,464.310000 kg,44.000000 L,1681 km
LHR,AMS,2019-01-12,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,LHR,2019-01-19,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,RTM,2019-01-19,€5.000000,99.050000 kg,16.490000 L,391 km
RTM,LHR,2019-01-26,€5.000000,99.050000 kg,16.490000 L,391 km
LHR,GRQ,2019-02-01,€5.000000,163.280000 kg,20.460000 L,563 km
GRQ,LHR,2019-02-07,€5.000000,163.280000 kg,20.460000 L,563 km
LHR,YHU,2019-02-07,€35.000000,1479.450000 kg,129.190000 L,5290 km
YHU,NCL,2019-02-08,€33.000000,1398.690000 kg,122.340000 L,5066 km
NCL,LHR,2019-02-13,€5.000000,105.000000 kg,14.930000 L,454 km
LHR,CDG,2019-02-13,€5.000000,87.000000 kg,13.920000 L,396 km
CDG,PRN,2019-02-15,€11.000000,456.500000 kg,43.370000 L,1649 km
PRN,LHR,2019-02-22,€13.000000,530.440000 kg,49.360000 L,1949 km
LHR,DUB,2019-02-22,€5.000000,128.000000 kg,16.960000 L,499 km
DUB,LHR,2019-03-08,€5.000000,128.000000 kg,16.960000 L,499 km
LHR,TXL,2019-03-08,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LEJ,2019-03-09,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,LHR,2019-03-15,€7.000000,277.790000 kg,28.910000 L,942 km
LHR,PIT,2019-03-16,€41.000000,1739.640000 kg,151.270000 L,6015 km
PIT,YTZ,2019-03-22,€5.000000,106.660000 kg,16.940000 L,409 km
YTZ,LGA,2019-03-23,€5.000000,175.710000 kg,21.290000 L,606 km
LGA,LHR,2019-04-06,€37.000000,1587.960000 kg,138.400000 L,5593 km
LHR,ENS,2019-04-13,€5.000000,162.940000 kg,20.430000 L,562 km
ENS,LHR,2019-04-18,€5.000000,162.940000 kg,20.430000 L,562 km
LHR,OTP,2019-04-18,€14.000000,575.000000 kg,52.910000 L,2152 km
OTP,LHR,2019-04-27,€14.000000,575.000000 kg,52.910000 L,2152 km
LHR,ESS,2019-05-04,€5.000000,164.380000 kg,20.530000 L,567 km
ESS,LHR,2019-05-17,€5.000000,164.380000 kg,20.530000 L,567 km
LHR,GLA,2019-05-17,€5.000000,155.000000 kg,18.480000 L,604 km
GLA,AMS,2019-05-18,€6.000000,236.000000 kg,26.070000 L,766 km
AMS,LHR,2019-05-25,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,WRO,2019-05-25,€9.000000,360.340000 kg,35.580000 L,1260 km
WRO,LHR,2019-05-31,€9.000000,360.340000 kg,35.580000 L,1260 km
LHR,TXL,2019-05-31,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-06-15,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,MAD,2019-06-15,€7.000000,300.000000 kg,29.360000 L,1292 km
MAD,LHR,2019-06-22,€7.000000,300.000000 kg,29.360000 L,1292 km
LHR,AMS,2019-06-22,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,LHR,2019-06-26,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,YEO,2019-06-26,€5.000000,42.800000 kg,10.830000 L,209 km
YEO,LHR,2019-06-29,€5.000000,42.800000 kg,10.830000 L,209 km
LHR,OBF,2019-06-29,€7.000000,287.530000 kg,29.700000 L,973 km
OBF,LHR,2019-07-06,€7.000000,287.530000 kg,29.700000 L,973 km
LHR,AMS,2019-07-06,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,LHR,2019-07-20,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,BHD,2019-07-26,€5.000000,142.000000 kg,17.720000 L,552 km
BHD,MUC,2019-07-27,€10.000000,408.100000 kg,39.450000 L,1453 km
MUC,LHR,2019-08-02,€6.000000,257.000000 kg,26.580000 L,990 km
LHR,KGD,2019-08-02,€10.000000,417.230000 kg,40.190000 L,1490 km
KGD,LHR,2019-08-09,€10.000000,417.230000 kg,40.190000 L,1490 km
LHR,LGA,2019-08-09,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,SFO,2019-08-16,€25.000000,1086.830000 kg,95.880000 L,4197 km
SFO,TXL,2019-08-23,€68.000000,2950.230000 kg,253.840000 L,9172 km
TXL,LHR,2019-08-30,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,CLO,2019-08-30,€65.000000,2807.390000 kg,241.750000 L,8810 km
CLO,LHR,2019-09-14,€65.000000,2807.390000 kg,241.750000 L,8810 km
LHR,DUB,2019-09-14,€5.000000,128.000000 kg,16.960000 L,499 km
DUB,LHR,2019-09-20,€5.000000,128.000000 kg,16.960000 L,499 km
LHR,WAW,2019-09-20,€10.000000,431.000000 kg,41.260000 L,1518 km
WAW,LHR,2019-09-27,€10.000000,431.000000 kg,41.260000 L,1518 km
LHR,ANR,2019-09-27,€5.000000,100.120000 kg,16.550000 L,394 km
ANR,AMS,2019-09-28,€5.000000,36.320000 kg,9.190000 L,178 km
AMS,LHR,2019-10-04,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,CIA,2019-10-04,€10.000000,418.270000 kg,40.270000 L,1495 km
CIA,LHR,2019-10-13,€10.000000,418.270000 kg,40.270000 L,1495 km
LHR,EZE,2019-10-13,€90.000000,3871.290000 kg,331.890000 L,11190 km
EZE,AMS,2019-10-17,€93.000000,4034.940000 kg,345.760000 L,11517 km
AMS,TXL,2019-10-19,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,AMS,2019-10-20,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,LHR,2019-10-26,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,RNS,2019-10-26,€5.000000,119.620000 kg,17.720000 L,440 km
RNS,LHR,2019-11-07,€5.000000,119.620000 kg,17.720000 L,440 km
LHR,CDG,2019-11-07,€5.000000,87.000000 kg,13.920000 L,396 km
CDG,MAN,2019-11-09,€5.000000,172.000000 kg,20.250000 L,637 km
MAN,LHR,2019-11-15,€5.000000,49.000000 kg,12.400000 L,291 km
LHR,DET,2019-11-15,€41.000000,1757.660000 kg,152.810000 L,6065 km
DET,LHR,2019-12-06,€41.000000,1757.660000 kg,152.810000 L,6065 km
BUD,LHR,2019-12-13,€9.000000,377.000000 kg,35.940000 L,1535 km
