DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MHG,CGN,2019-01-12,€5.000000,47.110000 kg,11.920000 L,230 km
CGN,MHG,2019-01-18,€5.000000,47.110000 kg,11.920000 L,230 km
MHG,CDG,2019-01-18,€5.000000,138.290000 kg,18.830000 L,484 km
CDG,MHG,2019-01-25,€5.000000,138.290000 kg,18.830000 L,484 km
MHG,STR,2019-03-22,€5.000000,31.260000 kg,7.910000 L,153 km
STR,MHG,2019-03-30,€5.000000,31.260000 kg,7.910000 L,153 km
HAM,MHG,2019-04-18,€5.000000,211.000000 kg,27.340000 L,522 km
MHG,GVA,2019-04-25,€5.000000,124.930000 kg,18.040000 L,452 km
GVA,MHG,2019-05-04,€5.000000,124.930000 kg,18.040000 L,452 km
MHG,HAM,2019-05-04,€5.000000,211.000000 kg,27.340000 L,522 km
HAM,MHG,2019-05-13,€5.000000,211.000000 kg,27.340000 L,522 km
MHG,TXL,2019-05-13,€5.000000,215.000000 kg,27.590000 L,528 km
TXL,MHG,2019-05-25,€5.000000,215.000000 kg,27.590000 L,528 km
MHG,OBF,2019-05-25,€5.000000,66.890000 kg,14.370000 L,307 km
OBF,MHG,2019-05-29,€5.000000,66.890000 kg,14.370000 L,307 km
MHG,STR,2019-05-31,€5.000000,31.260000 kg,7.910000 L,153 km
STR,MHG,2019-06-10,€5.000000,31.260000 kg,7.910000 L,153 km
MHG,TXL,2019-06-10,€5.000000,215.000000 kg,27.590000 L,528 km
TXL,MHG,2019-07-05,€5.000000,215.000000 kg,27.590000 L,528 km
MHG,TXL,2019-07-05,€5.000000,215.000000 kg,27.590000 L,528 km
TXL,MHG,2019-07-14,€5.000000,215.000000 kg,27.590000 L,528 km
MHG,LHR,2019-07-14,€5.000000,208.510000 kg,23.480000 L,720 km
LHR,BCN,2019-07-15,€7.000000,297.000000 kg,29.620000 L,1197 km
BCN,MHG,2019-07-18,€8.000000,317.840000 kg,32.140000 L,1088 km
MHG,BCN,2019-07-18,€8.000000,317.840000 kg,32.140000 L,1088 km
BCN,MHG,2019-09-20,€8.000000,317.840000 kg,32.140000 L,1088 km
MHG,PUY,2019-09-20,€5.000000,204.420000 kg,23.210000 L,706 km
PUY,IBZ,2019-09-21,€9.000000,366.700000 kg,36.100000 L,1286 km
IBZ,MHG,2019-10-18,€9.000000,385.040000 kg,37.580000 L,1360 km
MHG,CLO,2019-10-18,€71.000000,3048.220000 kg,262.140000 L,9420 km
CLO,MHG,2019-10-26,€71.000000,3048.220000 kg,262.140000 L,9420 km
MHG,BEG,2019-11-22,€8.000000,319.420000 kg,32.270000 L,1094 km
BEG,MHG,2019-12-13,€8.000000,319.420000 kg,32.270000 L,1094 km
MHG,TXL,2019-12-13,€5.000000,215.000000 kg,27.590000 L,528 km
TXL,MHG,2019-12-31,€5.000000,215.000000 kg,27.590000 L,528 km
