DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MEX,GDL,2019-02-01,€5.000000,142.000000 kg,18.480000 L,507 km
GDL,MEX,2019-02-09,€5.000000,142.000000 kg,18.480000 L,507 km
LGA,YTZ,2019-03-17,€5.000000,175.710000 kg,21.290000 L,606 km
YTZ,MEX,2019-03-29,€20.000000,852.710000 kg,76.230000 L,3309 km
MEX,LHR,2019-03-29,€73.000000,3171.000000 kg,273.160000 L,8950 km
LHR,MEX,2019-04-18,€73.000000,3171.000000 kg,273.160000 L,8950 km
MEX,GRX,2019-04-18,€69.000000,2978.070000 kg,256.200000 L,9242 km
GRX,AMS,2019-04-20,€12.000000,509.210000 kg,47.640000 L,1863 km
AMS,LHR,2019-04-27,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,MEX,2019-06-10,€73.000000,3171.000000 kg,273.160000 L,8950 km
MEX,IBZ,2019-06-10,€72.000000,3113.260000 kg,267.650000 L,9585 km
IBZ,LHR,2019-06-14,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,BIQ,2019-06-21,€7.000000,278.590000 kg,28.980000 L,944 km
BIQ,OPO,2019-06-29,€5.000000,199.650000 kg,22.890000 L,689 km
OPO,ORY,2019-07-06,€8.000000,317.000000 kg,31.130000 L,1249 km
ORY,TXL,2019-07-13,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,MEX,2019-08-02,€74.000000,3188.670000 kg,274.030000 L,9776 km
MEX,BCN,2019-08-02,€68.000000,2944.000000 kg,253.160000 L,9524 km
BCN,BIQ,2019-08-07,€5.000000,116.550000 kg,17.530000 L,432 km
BIQ,IBZ,2019-08-12,€5.000000,178.440000 kg,21.470000 L,616 km
IBZ,ORL,2019-08-18,€54.000000,2304.890000 kg,199.200000 L,7536 km
ORL,MEX,2019-08-22,€14.000000,570.200000 kg,52.650000 L,2115 km
MEX,GDL,2019-08-22,€5.000000,142.000000 kg,18.480000 L,507 km
GDL,MEX,2019-09-13,€5.000000,142.000000 kg,18.480000 L,507 km
MEX,GDL,2019-09-13,€5.000000,142.000000 kg,18.480000 L,507 km
GDL,MEX,2019-10-04,€5.000000,142.000000 kg,18.480000 L,507 km
MEX,LGA,2019-10-04,€21.000000,879.500000 kg,78.470000 L,3422 km
LGA,BUR,2019-10-05,€24.000000,1017.390000 kg,89.980000 L,4003 km
BUR,MEX,2019-10-12,€16.000000,676.530000 kg,61.520000 L,2564 km
MEX,SFO,2019-10-12,€18.000000,780.000000 kg,69.870000 L,3077 km
SFO,MEX,2019-11-08,€18.000000,780.000000 kg,69.870000 L,3077 km
MEX,ARN,2019-11-08,€72.000000,3125.970000 kg,268.720000 L,9617 km
ARN,LGA,2019-11-15,€43.000000,1857.010000 kg,161.230000 L,6342 km
LGA,GDL,2019-11-17,€22.000000,926.090000 kg,82.360000 L,3619 km
GDL,MEX,2019-12-14,€5.000000,142.000000 kg,18.480000 L,507 km
