DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
OTP,DPS,2019-01-09,€84.000000,3615.700000 kg,310.220000 L,10678 km
DPS,SKU,2019-01-12,€84.000000,3642.680000 kg,312.510000 L,10732 km
SKU,OTP,2019-01-18,€5.000000,199.170000 kg,22.850000 L,688 km
OTP,MLH,2019-01-18,€10.000000,428.680000 kg,41.120000 L,1537 km
MLH,MHG,2019-01-19,€5.000000,53.940000 kg,13.170000 L,260 km
MHG,OTP,2019-01-25,€10.000000,417.690000 kg,40.230000 L,1492 km
OTP,GVA,2019-01-25,€10.000000,418.000000 kg,39.740000 L,1616 km
GVA,LYN,2019-01-26,€5.000000,32.010000 kg,8.100000 L,156 km
LYN,OTP,2019-02-01,€11.000000,471.810000 kg,44.610000 L,1711 km
OTP,BCN,2019-02-01,€11.000000,444.000000 kg,41.010000 L,2031 km
BCN,CIA,2019-02-02,€7.000000,263.430000 kg,27.760000 L,896 km
CIA,OTP,2019-02-08,€9.000000,348.510000 kg,34.630000 L,1212 km
OTP,LHR,2019-02-08,€14.000000,575.000000 kg,52.910000 L,2152 km
LHR,BRU,2019-02-09,€5.000000,103.000000 kg,16.450000 L,399 km
BRU,OTP,2019-02-15,€13.000000,543.000000 kg,50.880000 L,1804 km
OTP,AMS,2019-02-15,€13.000000,540.000000 kg,50.630000 L,1833 km
AMS,OTP,2019-02-22,€13.000000,540.000000 kg,50.630000 L,1833 km
OTP,CZM,2019-02-22,€78.000000,3361.020000 kg,288.640000 L,10168 km
CZM,LHR,2019-03-01,€58.000000,2510.700000 kg,216.630000 L,8058 km
LHR,DEN,2019-03-07,€49.000000,2102.000000 kg,181.770000 L,7543 km
DEN,SFO,2019-03-08,€9.000000,388.000000 kg,36.960000 L,1603 km
SFO,TXL,2019-03-17,€68.000000,2950.230000 kg,253.840000 L,9172 km
TXL,OTP,2019-03-29,€9.000000,382.000000 kg,37.340000 L,1348 km
OTP,NGO,2019-03-29,€65.000000,2804.150000 kg,241.480000 L,8801 km
NGO,HND,2019-03-30,€5.000000,67.710000 kg,14.440000 L,310 km
HND,OTP,2019-04-19,€66.000000,2862.860000 kg,246.450000 L,8950 km
OTP,FRA,2019-04-19,€11.000000,473.000000 kg,45.310000 L,1498 km
FRA,TXL,2019-04-20,€5.000000,111.000000 kg,15.180000 L,481 km
TXL,OTP,2019-04-25,€9.000000,382.000000 kg,37.340000 L,1348 km
OTP,CND,2019-04-25,€5.000000,33.000000 kg,8.350000 L,240 km
CND,OTP,2019-05-03,€5.000000,33.000000 kg,8.350000 L,240 km
OTP,ORY,2019-05-03,€13.000000,521.740000 kg,48.650000 L,1913 km
ORY,LBA,2019-05-05,€5.000000,199.180000 kg,22.850000 L,688 km
LBA,OTP,2019-05-11,€15.000000,614.260000 kg,56.320000 L,2301 km
OTP,VKO,2019-05-11,€10.000000,423.510000 kg,40.700000 L,1516 km
VKO,OTP,2019-05-17,€10.000000,423.510000 kg,40.700000 L,1516 km
OTP,VRN,2019-05-17,€11.000000,473.000000 kg,46.580000 L,1247 km
VRN,OTP,2019-05-18,€11.000000,473.000000 kg,46.580000 L,1247 km
OTP,GRQ,2019-05-25,€12.000000,484.630000 kg,45.650000 L,1763 km
GRQ,TXL,2019-05-26,€5.000000,146.660000 kg,19.340000 L,505 km
TXL,OTP,2019-06-01,€9.000000,382.000000 kg,37.340000 L,1348 km
OTP,LCA,2019-06-01,€9.000000,374.000000 kg,36.700000 L,1304 km
LCA,OTP,2019-06-06,€9.000000,374.000000 kg,36.700000 L,1304 km
OTP,LHR,2019-06-06,€14.000000,575.000000 kg,52.910000 L,2152 km
LHR,TXL,2019-06-12,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,IBZ,2019-06-13,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,CLJ,2019-06-14,€13.000000,558.550000 kg,51.670000 L,2065 km
CLJ,OTP,2019-06-20,€5.000000,82.000000 kg,14.680000 L,359 km
OTP,IBZ,2019-06-20,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,OTP,2019-06-22,€14.000000,588.010000 kg,54.130000 L,2190 km
OTP,IBZ,2019-06-27,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,OTP,2019-07-04,€14.000000,588.010000 kg,54.130000 L,2190 km
OTP,IBZ,2019-07-04,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,OTP,2019-07-13,€14.000000,588.010000 kg,54.130000 L,2190 km
OTP,VKO,2019-07-13,€10.000000,423.510000 kg,40.700000 L,1516 km
VKO,IBZ,2019-07-15,€20.000000,847.050000 kg,75.760000 L,3285 km
IBZ,OTP,2019-07-18,€14.000000,588.010000 kg,54.130000 L,2190 km
OTP,IBZ,2019-07-18,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,OTP,2019-07-27,€14.000000,588.010000 kg,54.130000 L,2190 km
OTP,VIE,2019-07-27,€6.000000,258.000000 kg,27.340000 L,879 km
VIE,OTP,2019-08-01,€6.000000,258.000000 kg,27.340000 L,879 km
OTP,IBZ,2019-08-01,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,RBA,2019-08-03,€7.000000,280.610000 kg,29.140000 L,951 km
RBA,IBZ,2019-08-08,€7.000000,280.610000 kg,29.140000 L,951 km
IBZ,OTP,2019-08-22,€14.000000,588.010000 kg,54.130000 L,2190 km
OTP,IBZ,2019-08-22,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,OTP,2019-08-31,€14.000000,588.010000 kg,54.130000 L,2190 km
OTP,TXL,2019-09-01,€9.000000,382.000000 kg,37.340000 L,1348 km
TXL,OTP,2019-09-07,€9.000000,382.000000 kg,37.340000 L,1348 km
OTP,BRU,2019-09-07,€13.000000,543.000000 kg,50.880000 L,1804 km
BRU,OTP,2019-09-12,€13.000000,543.000000 kg,50.880000 L,1804 km
OTP,IBZ,2019-09-12,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,LHR,2019-09-14,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,OTP,2019-09-19,€14.000000,575.000000 kg,52.910000 L,2152 km
OTP,IBZ,2019-09-19,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,OTP,2019-09-26,€14.000000,588.010000 kg,54.130000 L,2190 km
OTP,IBZ,2019-09-26,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,MLH,2019-09-28,€8.000000,333.170000 kg,33.380000 L,1150 km
MLH,OTP,2019-10-03,€10.000000,428.680000 kg,41.120000 L,1537 km
OTP,IBZ,2019-10-03,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,OTP,2019-10-10,€14.000000,588.010000 kg,54.130000 L,2190 km
OTP,IBZ,2019-10-10,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,OTP,2019-10-17,€14.000000,588.010000 kg,54.130000 L,2190 km
OTP,IBZ,2019-10-17,€14.000000,588.010000 kg,54.130000 L,2190 km
IBZ,AMS,2019-10-19,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,OTP,2019-10-25,€13.000000,540.000000 kg,50.630000 L,1833 km
OTP,FRA,2019-10-25,€11.000000,473.000000 kg,45.310000 L,1498 km
FRA,OTP,2019-11-01,€11.000000,473.000000 kg,45.310000 L,1498 km
OTP,LED,2019-11-01,€12.000000,491.200000 kg,46.180000 L,1790 km
LED,VKO,2019-11-02,€7.000000,285.000000 kg,32.650000 L,674 km
VKO,OTP,2019-11-09,€10.000000,423.510000 kg,40.700000 L,1516 km
OTP,TXL,2019-11-09,€9.000000,382.000000 kg,37.340000 L,1348 km
TXL,OTP,2019-11-15,€9.000000,382.000000 kg,37.340000 L,1348 km
OTP,ITM,2019-11-15,€65.000000,2782.670000 kg,239.660000 L,8747 km
ITM,HND,2019-11-16,€5.000000,114.000000 kg,16.200000 L,452 km
HND,CLJ,2019-11-29,€66.000000,2851.760000 kg,245.510000 L,8922 km
CLJ,ZRH,2019-11-30,€8.000000,344.660000 kg,34.310000 L,1197 km
ZRH,OTP,2019-12-05,€10.000000,414.000000 kg,40.000000 L,1439 km
OTP,BCN,2019-12-05,€11.000000,444.000000 kg,41.010000 L,2031 km
BCN,ANR,2019-12-06,€8.000000,336.820000 kg,33.680000 L,1165 km
ANR,LHR,2019-12-07,€5.000000,100.120000 kg,16.550000 L,394 km
LHR,OTP,2019-12-13,€14.000000,575.000000 kg,52.910000 L,2152 km
OTP,AMS,2019-12-15,€13.000000,540.000000 kg,50.630000 L,1833 km
AMS,OTP,2019-12-19,€13.000000,540.000000 kg,50.630000 L,1833 km
OTP,CDG,2019-12-19,€12.000000,505.000000 kg,47.080000 L,1901 km
CDG,OTP,2019-12-21,€12.000000,505.000000 kg,47.080000 L,1901 km
OTP,SDV,2019-12-27,€11.000000,449.620000 kg,42.810000 L,1621 km
SDV,OTP,2019-12-31,€11.000000,449.620000 kg,42.810000 L,1621 km
