DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BRN,GVA,2019-01-12,€5.000000,36.790000 kg,9.310000 L,180 km
GVA,BRN,2019-03-16,€5.000000,36.790000 kg,9.310000 L,180 km
BRN,GVA,2019-03-16,€5.000000,36.790000 kg,9.310000 L,180 km
GVA,BRN,2019-04-20,€5.000000,36.790000 kg,9.310000 L,180 km
BRN,GVA,2019-04-20,€5.000000,36.790000 kg,9.310000 L,180 km
GVA,BRN,2019-05-04,€5.000000,36.790000 kg,9.310000 L,180 km
BRN,GVA,2019-05-04,€5.000000,36.790000 kg,9.310000 L,180 km
GVA,BRN,2019-06-15,€5.000000,36.790000 kg,9.310000 L,180 km
BRN,GVA,2019-06-15,€5.000000,36.790000 kg,9.310000 L,180 km
GVA,BRN,2019-08-02,€5.000000,36.790000 kg,9.310000 L,180 km
BRN,GVA,2019-08-02,€5.000000,36.790000 kg,9.310000 L,180 km
GVA,BRN,2019-10-05,€5.000000,36.790000 kg,9.310000 L,180 km
BRN,GVA,2019-10-05,€5.000000,36.790000 kg,9.310000 L,180 km
GVA,BRN,2019-11-28,€5.000000,36.790000 kg,9.310000 L,180 km
BRN,SIR,2019-11-28,€5.000000,25.890000 kg,6.550000 L,126 km
SIR,BRN,2019-12-25,€5.000000,25.890000 kg,6.550000 L,126 km
BRN,MLH,2019-12-25,€5.000000,29.290000 kg,7.410000 L,143 km
MLH,BRN,2019-12-28,€5.000000,29.290000 kg,7.410000 L,143 km
