DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SEM,MME,2019-02-01,€49.000000,2089.430000 kg,180.960000 L,6990 km
MME,SEM,2019-02-23,€49.000000,2089.430000 kg,180.960000 L,6990 km
SEM,LGA,2019-02-23,€11.000000,449.120000 kg,42.770000 L,1619 km
LGA,SEM,2019-03-01,€11.000000,449.120000 kg,42.770000 L,1619 km
SEM,AKL,2019-03-01,€107.000000,4643.910000 kg,397.370000 L,12737 km
AKL,SEM,2019-03-16,€107.000000,4643.910000 kg,397.370000 L,12737 km
SEM,LCY,2019-03-16,€50.000000,2167.020000 kg,187.530000 L,7187 km
LCY,ZAG,2019-03-22,€10.000000,391.790000 kg,38.130000 L,1387 km
ZAG,DUB,2019-03-23,€12.000000,509.370000 kg,47.650000 L,1863 km
DUB,TNT,2019-03-25,€10.000000,429.180000 kg,41.160000 L,1539 km
TNT,SEM,2019-04-02,€59.000000,2557.610000 kg,220.600000 L,8177 km
SEM,SIR,2019-04-02,€57.000000,2452.580000 kg,211.710000 L,7911 km
SIR,SEM,2019-04-25,€57.000000,2452.580000 kg,211.710000 L,7911 km
SEM,LGA,2019-04-25,€11.000000,449.120000 kg,42.770000 L,1619 km
LGA,GVA,2019-04-27,€43.000000,1826.350000 kg,158.630000 L,6257 km
GVA,BQH,2019-05-05,€6.000000,227.840000 kg,24.910000 L,784 km
BQH,MAN,2019-05-17,€5.000000,67.410000 kg,14.420000 L,309 km
MAN,ABQ,2019-05-23,€56.000000,2431.580000 kg,209.930000 L,7857 km
ABQ,SEM,2019-05-26,€12.000000,493.100000 kg,46.330000 L,1798 km
SEM,NEL,2019-05-26,€10.000000,430.550000 kg,41.270000 L,1544 km
NEL,SEM,2019-05-31,€10.000000,430.550000 kg,41.270000 L,1544 km
SEM,MXP,2019-05-31,€58.000000,2502.240000 kg,215.910000 L,8036 km
MXP,IBZ,2019-06-02,€7.000000,279.000000 kg,28.600000 L,1012 km
IBZ,SEM,2019-06-30,€56.000000,2422.210000 kg,209.130000 L,7834 km
SEM,IBZ,2019-06-30,€56.000000,2422.210000 kg,209.130000 L,7834 km
IBZ,LCA,2019-07-07,€18.000000,766.130000 kg,69.010000 L,2943 km
LCA,DBV,2019-07-10,€11.000000,451.950000 kg,43.000000 L,1631 km
DBV,IBZ,2019-07-14,€10.000000,427.580000 kg,41.030000 L,1532 km
IBZ,LGA,2019-07-26,€43.000000,1833.160000 kg,159.210000 L,6276 km
LGA,SEM,2019-08-03,€11.000000,449.120000 kg,42.770000 L,1619 km
SEM,LCY,2019-08-03,€50.000000,2167.020000 kg,187.530000 L,7187 km
LCY,IBZ,2019-08-11,€11.000000,452.000000 kg,43.540000 L,1457 km
IBZ,LPL,2019-08-22,€11.000000,467.000000 kg,44.220000 L,1692 km
LPL,AMS,2019-08-23,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,IBZ,2019-08-25,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,EDI,2019-09-14,€13.000000,538.880000 kg,50.040000 L,1983 km
EDI,LTN,2019-09-21,€5.000000,157.890000 kg,20.100000 L,544 km
LTN,IBZ,2019-09-22,€10.000000,420.310000 kg,40.440000 L,1503 km
IBZ,YND,2019-09-27,€42.000000,1806.280000 kg,156.930000 L,6201 km
YND,YHU,2019-09-28,€5.000000,31.570000 kg,7.990000 L,154 km
YHU,SEM,2019-10-04,€13.000000,530.700000 kg,49.380000 L,1950 km
SEM,SOF,2019-10-04,€69.000000,2960.100000 kg,254.680000 L,9197 km
SOF,IBZ,2019-10-06,€13.000000,530.920000 kg,49.400000 L,1951 km
IBZ,LPL,2019-10-12,€11.000000,467.000000 kg,44.220000 L,1692 km
LPL,AMS,2019-10-18,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,DXB,2019-10-24,€40.000000,1720.000000 kg,150.370000 L,5216 km
DXB,ANR,2019-10-26,€34.000000,1450.580000 kg,126.740000 L,5210 km
ANR,TNT,2019-10-31,€6.000000,233.140000 kg,25.340000 L,801 km
TNT,SEM,2019-11-09,€59.000000,2557.610000 kg,220.600000 L,8177 km
SEM,ORD,2019-11-09,€8.000000,326.700000 kg,32.860000 L,1124 km
ORD,SEM,2019-11-21,€8.000000,326.700000 kg,32.860000 L,1124 km
SEM,LGA,2019-11-21,€11.000000,449.120000 kg,42.770000 L,1619 km
LGA,SEM,2019-11-30,€11.000000,449.120000 kg,42.770000 L,1619 km
SEM,SFO,2019-11-30,€20.000000,832.540000 kg,74.550000 L,3224 km
SFO,SEM,2019-12-07,€20.000000,832.540000 kg,74.550000 L,3224 km
SEM,CWL,2019-12-07,€48.000000,2081.430000 kg,180.280000 L,6967 km
CWL,BQH,2019-12-14,€5.000000,61.890000 kg,13.910000 L,289 km
BQH,SEM,2019-12-27,€50.000000,2167.870000 kg,187.600000 L,7189 km
