DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CDG,LGA,2019-01-05,€39.000000,1693.720000 kg,147.380000 L,5887 km
LGA,ORY,2019-01-19,€39.000000,1694.110000 kg,147.410000 L,5888 km
ORY,CDG,2019-01-24,€5.000000,17.450000 kg,4.410000 L,85 km
CDG,PIS,2019-01-24,€5.000000,89.450000 kg,15.910000 L,368 km
PIS,CDG,2019-02-01,€5.000000,89.450000 kg,15.910000 L,368 km
CDG,TXL,2019-03-01,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,LED,2019-03-02,€8.000000,316.000000 kg,30.880000 L,1366 km
LED,CDG,2019-03-09,€13.000000,559.000000 kg,51.390000 L,2182 km
CDG,BRN,2019-03-09,€5.000000,139.340000 kg,18.900000 L,486 km
BRN,CDG,2019-03-29,€5.000000,139.340000 kg,18.900000 L,486 km
CDG,HEM,2019-03-29,€13.000000,530.180000 kg,49.340000 L,1948 km
HEM,CDG,2019-04-06,€13.000000,530.180000 kg,49.340000 L,1948 km
CDG,GRQ,2019-04-06,€5.000000,170.330000 kg,20.930000 L,587 km
GRQ,CDG,2019-04-12,€5.000000,170.330000 kg,20.930000 L,587 km
CDG,MAD,2019-04-12,€7.000000,278.000000 kg,28.100000 L,1111 km
MAD,BCN,2019-04-13,€5.000000,126.000000 kg,16.200000 L,531 km
BCN,CDG,2019-04-20,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,LHR,2019-04-20,€5.000000,87.000000 kg,13.920000 L,396 km
LHR,CDG,2019-05-04,€5.000000,87.000000 kg,13.920000 L,396 km
CDG,LEJ,2019-05-04,€6.000000,256.000000 kg,28.100000 L,789 km
LEJ,CDG,2019-05-11,€6.000000,256.000000 kg,28.100000 L,789 km
CDG,SOF,2019-05-11,€12.000000,481.000000 kg,45.060000 L,1803 km
SOF,CDG,2019-05-18,€12.000000,481.000000 kg,45.060000 L,1803 km
CDG,OBF,2019-05-18,€5.000000,203.040000 kg,23.110000 L,701 km
OBF,CDG,2019-05-24,€5.000000,203.040000 kg,23.110000 L,701 km
CDG,RTM,2019-06-06,€5.000000,103.790000 kg,16.770000 L,402 km
RTM,TXL,2019-06-07,€5.000000,190.410000 kg,22.270000 L,657 km
TXL,CDG,2019-06-12,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,OSL,2019-06-12,€10.000000,419.000000 kg,40.500000 L,1407 km
OSL,CDG,2019-06-15,€10.000000,419.000000 kg,40.500000 L,1407 km
CDG,SXB,2019-06-15,€5.000000,149.000000 kg,22.270000 L,427 km
SXB,CDG,2019-07-06,€5.000000,149.000000 kg,22.270000 L,427 km
CDG,IEV,2019-07-06,€13.000000,555.710000 kg,51.440000 L,2053 km
IEV,CDG,2019-07-13,€13.000000,555.710000 kg,51.440000 L,2053 km
CDG,VKO,2019-07-13,€16.000000,659.970000 kg,60.140000 L,2494 km
VKO,CDG,2019-07-21,€16.000000,659.970000 kg,60.140000 L,2494 km
CDG,HEM,2019-07-21,€13.000000,530.180000 kg,49.340000 L,1948 km
HEM,CDG,2019-08-02,€13.000000,530.180000 kg,49.340000 L,1948 km
CDG,AMS,2019-08-02,€5.000000,111.000000 kg,15.940000 L,448 km
AMS,CDG,2019-08-14,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,EAS,2019-08-14,€6.000000,221.450000 kg,24.400000 L,764 km
EAS,TXL,2019-08-16,€11.000000,436.190000 kg,41.730000 L,1567 km
TXL,CDG,2019-08-24,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,LGG,2019-08-24,€5.000000,73.680000 kg,14.970000 L,331 km
LGG,CDG,2019-09-19,€5.000000,73.680000 kg,14.970000 L,331 km
CDG,RTM,2019-09-19,€5.000000,103.790000 kg,16.770000 L,402 km
RTM,CDG,2019-09-27,€5.000000,103.790000 kg,16.770000 L,402 km
CDG,AMS,2019-10-18,€5.000000,111.000000 kg,15.940000 L,448 km
AMS,CDG,2019-11-15,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,VKO,2019-11-16,€16.000000,659.970000 kg,60.140000 L,2494 km
VKO,CDG,2019-11-22,€16.000000,659.970000 kg,60.140000 L,2494 km
CDG,TXL,2019-11-22,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,CDG,2019-11-30,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,BCN,2019-11-30,€6.000000,219.000000 kg,23.030000 L,908 km
BCN,CDG,2019-12-14,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,SFO,2019-12-14,€63.000000,2736.000000 kg,235.690000 L,9008 km
SFO,MEX,2019-12-20,€18.000000,780.000000 kg,69.870000 L,3077 km
MEX,CDG,2019-12-27,€64.000000,2740.000000 kg,235.940000 L,9243 km
