DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,LCY,2019-01-01,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,TXL,2019-01-02,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,SXF,2019-01-19,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,MAD,2019-01-19,€13.000000,521.750000 kg,48.650000 L,1913 km
MAD,SXF,2019-01-27,€13.000000,521.750000 kg,48.650000 L,1913 km
SXF,LCY,2019-01-27,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-02-14,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,LGA,2019-02-14,€44.000000,1890.850000 kg,164.110000 L,6436 km
LGA,TNT,2019-02-15,€45.000000,1953.210000 kg,169.400000 L,6610 km
TNT,LBA,2019-02-24,€9.000000,372.120000 kg,36.540000 L,1308 km
LBA,SXF,2019-03-03,€8.000000,313.420000 kg,31.780000 L,1070 km
SXF,LCY,2019-03-03,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-03-08,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,TXL,2019-03-08,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,IBZ,2019-03-09,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,SXF,2019-03-16,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,LIN,2019-03-16,€7.000000,262.280000 kg,27.670000 L,893 km
LIN,SXF,2019-03-23,€7.000000,262.280000 kg,27.670000 L,893 km
SXF,SMR,2019-03-23,€66.000000,2856.510000 kg,245.910000 L,8934 km
SMR,STN,2019-03-30,€58.000000,2499.410000 kg,215.670000 L,8029 km
STN,TXL,2019-04-01,€7.000000,278.000000 kg,28.930000 L,943 km
TXL,SXF,2019-04-06,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,HAM,2019-04-06,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,LCY,2019-04-07,€6.000000,220.270000 kg,24.310000 L,760 km
LCY,SXF,2019-04-12,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,BCN,2019-04-12,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,SXF,2019-04-21,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,LCY,2019-04-21,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-05-03,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,TXL,2019-05-03,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-05-17,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-05-17,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,ZRH,2019-05-18,€5.000000,177.000000 kg,20.000000 L,710 km
ZRH,SXF,2019-05-26,€5.000000,206.860000 kg,23.370000 L,714 km
SXF,LCY,2019-05-26,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-05-31,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,NCL,2019-05-31,€8.000000,317.540000 kg,32.120000 L,1087 km
NCL,DPS,2019-06-02,€105.000000,4555.380000 kg,389.870000 L,12559 km
DPS,MEB,2019-06-07,€28.000000,1174.100000 kg,103.280000 L,4440 km
MEB,SYD,2019-06-09,€6.000000,218.980000 kg,24.200000 L,756 km
BCN,SXF,2019-06-29,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,LCY,2019-06-29,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-07-06,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,RMI,2019-07-06,€7.000000,295.070000 kg,30.300000 L,997 km
RMI,SXF,2019-07-09,€7.000000,295.070000 kg,30.300000 L,997 km
SXF,IBZ,2019-07-09,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-07-12,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,TXL,2019-07-12,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-07-27,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-07-27,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-07-31,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,IBZ,2019-07-31,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-08-17,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,ZAD,2019-08-17,€7.000000,294.590000 kg,30.260000 L,995 km
ZAD,SXF,2019-08-25,€7.000000,294.590000 kg,30.260000 L,995 km
SXF,EMA,2019-08-25,€8.000000,308.290000 kg,31.370000 L,1049 km
EMA,SXF,2019-09-11,€8.000000,308.290000 kg,31.370000 L,1049 km
SXF,BCN,2019-09-11,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,MME,2019-09-13,€10.000000,431.760000 kg,41.370000 L,1549 km
MME,SXF,2019-09-20,€8.000000,309.470000 kg,31.460000 L,1054 km
SXF,IBZ,2019-09-20,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,LCY,2019-09-21,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,SXF,2019-09-27,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,KNF,2019-09-27,€7.000000,296.870000 kg,30.450000 L,1003 km
KNF,LBA,2019-09-28,€5.000000,78.600000 kg,15.270000 L,343 km
LBA,SXF,2019-10-06,€8.000000,313.420000 kg,31.780000 L,1070 km
SXF,IBZ,2019-10-06,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-10-11,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,LPL,2019-10-11,€8.000000,333.200000 kg,33.380000 L,1150 km
LPL,BQH,2019-10-12,€5.000000,75.270000 kg,15.070000 L,335 km
