DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BUD,TXL,2019-01-12,€6.000000,222.000000 kg,24.550000 L,760 km
TXL,BUD,2019-01-18,€6.000000,222.000000 kg,24.550000 L,760 km
BUD,SXB,2019-01-18,€7.000000,271.390000 kg,28.400000 L,922 km
SXB,BUD,2019-01-19,€7.000000,271.390000 kg,28.400000 L,922 km
BUD,LYN,2019-01-25,€8.000000,335.110000 kg,33.540000 L,1158 km
LYN,BUD,2019-02-02,€8.000000,335.110000 kg,33.540000 L,1158 km
BUD,VIY,2019-02-22,€9.000000,375.890000 kg,36.840000 L,1323 km
VIY,BUD,2019-03-15,€9.000000,375.890000 kg,36.840000 L,1323 km
BUD,TXL,2019-03-15,€6.000000,222.000000 kg,24.550000 L,760 km
TXL,CGN,2019-03-16,€5.000000,124.000000 kg,16.200000 L,513 km
CGN,BUD,2019-03-29,€7.000000,297.930000 kg,30.530000 L,1007 km
BUD,POZ,2019-03-30,€5.000000,182.650000 kg,21.750000 L,630 km
POZ,BUD,2019-04-19,€5.000000,182.650000 kg,21.750000 L,630 km
BUD,ZAG,2019-04-19,€5.000000,88.000000 kg,15.940000 L,357 km
ZAG,BUD,2019-04-26,€5.000000,88.000000 kg,15.940000 L,357 km
BUD,EDI,2019-04-26,€12.000000,508.840000 kg,47.610000 L,1861 km
EDI,BUD,2019-05-04,€12.000000,508.840000 kg,47.610000 L,1861 km
BUD,LBG,2019-05-04,€9.000000,371.170000 kg,36.460000 L,1304 km
LBG,BUD,2019-05-17,€9.000000,371.170000 kg,36.460000 L,1304 km
BUD,TXL,2019-05-29,€6.000000,222.000000 kg,24.550000 L,760 km
TXL,BUD,2019-06-15,€6.000000,222.000000 kg,24.550000 L,760 km
BUD,LCY,2019-06-15,€10.000000,420.500000 kg,40.460000 L,1504 km
LCY,BUD,2019-06-20,€10.000000,420.500000 kg,40.460000 L,1504 km
ORY,TUF,2019-08-04,€5.000000,48.780000 kg,12.340000 L,239 km
TUF,BUD,2019-08-11,€10.000000,404.940000 kg,39.200000 L,1441 km
BUD,BOD,2019-08-11,€11.000000,447.030000 kg,42.600000 L,1611 km
BOD,BUD,2019-08-16,€11.000000,447.030000 kg,42.600000 L,1611 km
BUD,LGA,2019-10-13,€49.000000,2120.230000 kg,183.560000 L,7069 km
LGA,BUD,2019-11-01,€49.000000,2120.230000 kg,183.560000 L,7069 km
SYD,MEB,2019-11-04,€6.000000,218.980000 kg,24.200000 L,756 km
MEB,CBR,2019-11-09,€5.000000,146.340000 kg,19.320000 L,504 km
RNS,BUD,2019-11-30,€11.000000,448.170000 kg,42.700000 L,1616 km
