DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,TXL,2019-01-01,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-02-02,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,NTE,2019-02-02,€9.000000,366.260000 kg,36.060000 L,1284 km
NTE,SXF,2019-03-01,€9.000000,366.260000 kg,36.060000 L,1284 km
SXF,YHU,2019-03-01,€41.000000,1765.650000 kg,153.480000 L,6088 km
YHU,YTZ,2019-03-02,€5.000000,148.660000 kg,19.480000 L,512 km
YTZ,AAR,2019-03-08,€42.000000,1789.880000 kg,155.540000 L,6155 km
AAR,SXF,2019-03-23,€5.000000,147.500000 kg,19.400000 L,508 km
SXF,WAW,2019-03-23,€5.000000,161.840000 kg,20.360000 L,558 km
WAW,SXF,2019-03-30,€5.000000,161.840000 kg,20.360000 L,558 km
SXF,MAD,2019-03-30,€13.000000,521.750000 kg,48.650000 L,1913 km
MAD,SXF,2019-04-02,€13.000000,521.750000 kg,48.650000 L,1913 km
SXF,SIR,2019-04-02,€6.000000,257.390000 kg,27.280000 L,877 km
SIR,SXF,2019-04-06,€6.000000,257.390000 kg,27.280000 L,877 km
SXF,BCN,2019-04-06,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,SXF,2019-04-26,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,BFI,2019-04-26,€59.000000,2562.110000 kg,220.980000 L,8188 km
BFI,SFO,2019-04-27,€8.000000,334.030000 kg,33.450000 L,1153 km
SFO,ORY,2019-04-30,€67.000000,2898.110000 kg,249.430000 L,9039 km
ORY,SXF,2019-05-11,€7.000000,277.190000 kg,28.870000 L,940 km
SXF,HAM,2019-05-11,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,SXF,2019-05-17,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,LCY,2019-05-17,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,HHR,2019-05-18,€65.000000,2820.400000 kg,242.850000 L,8843 km
CGN,SXF,2019-07-13,€5.000000,152.180000 kg,19.710000 L,524 km
SXF,OBF,2019-07-13,€5.000000,164.220000 kg,20.520000 L,566 km
OBF,SXF,2019-07-27,€5.000000,164.220000 kg,20.520000 L,566 km
SXF,LBG,2019-07-27,€7.000000,271.260000 kg,28.390000 L,921 km
LBG,SXF,2019-07-31,€7.000000,271.260000 kg,28.390000 L,921 km
SXF,AMS,2019-07-31,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-08-03,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,AMS,2019-08-03,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-08-16,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,PRN,2019-08-17,€9.000000,367.950000 kg,36.200000 L,1291 km
PRN,SXF,2019-08-22,€9.000000,367.950000 kg,36.200000 L,1291 km
SXF,OPO,2019-08-22,€14.000000,576.830000 kg,53.200000 L,2143 km
OPO,YHU,2019-08-23,€34.000000,1459.120000 kg,127.470000 L,5234 km
YHU,LEU,2019-08-30,€40.000000,1696.470000 kg,147.610000 L,5895 km
LEU,TXL,2019-09-01,€10.000000,417.210000 kg,40.190000 L,1490 km
TXL,SXF,2019-09-13,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,MLH,2019-09-13,€5.000000,213.570000 kg,23.820000 L,738 km
MLH,SXF,2019-09-18,€5.000000,213.570000 kg,23.820000 L,738 km
SXF,CLO,2019-09-18,€74.000000,3186.740000 kg,273.870000 L,9771 km
CLO,BOG,2019-09-25,€5.000000,57.000000 kg,14.430000 L,328 km
BOG,MEX,2019-09-27,€19.000000,789.000000 kg,70.630000 L,3208 km
TXL,SXF,2019-10-19,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,GOA,2019-10-19,€7.000000,299.350000 kg,30.650000 L,1013 km
GOA,SXF,2019-10-25,€7.000000,299.350000 kg,30.650000 L,1013 km
SXF,OVD,2019-10-25,€12.000000,498.190000 kg,46.750000 L,1818 km
OVD,SXF,2019-11-01,€12.000000,498.190000 kg,46.750000 L,1818 km
LCY,SXF,2019-11-15,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,TLL,2019-11-15,€8.000000,319.190000 kg,32.250000 L,1093 km
TLL,SXF,2019-11-22,€8.000000,319.190000 kg,32.250000 L,1093 km
SXF,PRG,2019-11-22,€5.000000,72.650000 kg,14.900000 L,328 km
PRG,ODS,2019-11-23,€9.000000,361.000000 kg,35.180000 L,1328 km
ODS,SXF,2019-12-11,€10.000000,407.380000 kg,39.390000 L,1450 km
SXF,HND,2019-12-11,€67.000000,2878.300000 kg,247.750000 L,8989 km
HND,SXF,2019-12-19,€67.000000,2878.300000 kg,247.750000 L,8989 km
