DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
YXU,PSP,2019-04-12,€20.000000,843.550000 kg,75.470000 L,3270 km
PSP,YXU,2019-05-24,€20.000000,843.550000 kg,75.470000 L,3270 km
YXU,IBZ,2019-05-24,€46.000000,1989.210000 kg,172.450000 L,6710 km
IBZ,YXU,2019-05-30,€46.000000,1989.210000 kg,172.450000 L,6710 km
YXU,BRN,2019-05-30,€46.000000,1968.860000 kg,170.720000 L,6654 km
BRN,EIN,2019-05-31,€5.000000,167.340000 kg,20.730000 L,577 km
EIN,YXU,2019-06-06,€43.000000,1830.330000 kg,158.970000 L,6268 km
YXU,OPO,2019-06-06,€39.000000,1678.360000 kg,146.070000 L,5845 km
OPO,CHQ,2019-06-07,€18.000000,771.130000 kg,69.420000 L,2964 km
CHQ,YXU,2019-08-03,€62.000000,2695.080000 kg,232.240000 L,8525 km
YXU,LCY,2019-08-03,€40.000000,1710.840000 kg,148.830000 L,5935 km
LCY,YXU,2019-08-10,€40.000000,1710.840000 kg,148.830000 L,5935 km
YXU,LCY,2019-08-10,€40.000000,1710.840000 kg,148.830000 L,5935 km
LCY,YXU,2019-08-14,€40.000000,1710.840000 kg,148.830000 L,5935 km
YXU,LCY,2019-08-14,€40.000000,1710.840000 kg,148.830000 L,5935 km
LCY,YXU,2019-08-17,€40.000000,1710.840000 kg,148.830000 L,5935 km
YXU,TXL,2019-08-17,€46.000000,1976.210000 kg,171.350000 L,6674 km
TXL,YXU,2019-10-16,€46.000000,1976.210000 kg,171.350000 L,6674 km
YXU,AMS,2019-10-16,€42.000000,1801.110000 kg,156.490000 L,6186 km
AMS,YXU,2019-10-30,€42.000000,1801.110000 kg,156.490000 L,6186 km
YXU,LGA,2019-11-23,€5.000000,203.700000 kg,23.160000 L,703 km
LGA,TNT,2019-12-05,€45.000000,1953.210000 kg,169.400000 L,6610 km
TNT,YXU,2019-12-07,€48.000000,2071.200000 kg,179.410000 L,6939 km
