DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
UGN,ORY,2019-01-05,€46.000000,1984.260000 kg,172.030000 L,6697 km
ORY,UGN,2019-02-09,€46.000000,1984.260000 kg,172.030000 L,6697 km
UGN,LIS,2019-02-09,€44.000000,1902.940000 kg,165.130000 L,6470 km
LIS,LCY,2019-02-16,€11.000000,454.010000 kg,43.170000 L,1639 km
LCY,MAN,2019-02-21,€5.000000,67.030000 kg,14.380000 L,308 km
MAN,TXL,2019-02-22,€8.000000,319.570000 kg,32.280000 L,1095 km
TXL,UGN,2019-03-09,€50.000000,2134.390000 kg,184.760000 L,7104 km
UGN,LCY,2019-03-09,€44.000000,1877.210000 kg,162.950000 L,6398 km
LCY,LBA,2019-03-16,€5.000000,75.570000 kg,15.080000 L,336 km
LBA,BCN,2019-03-30,€10.000000,413.630000 kg,39.900000 L,1476 km
BCN,LGA,2019-04-13,€42.000000,1808.520000 kg,157.120000 L,6207 km
LGA,UGN,2019-04-27,€9.000000,351.650000 kg,34.880000 L,1225 km
UGN,DET,2019-04-27,€5.000000,122.750000 kg,17.900000 L,447 km
DET,UGN,2019-05-05,€5.000000,122.750000 kg,17.900000 L,447 km
UGN,LCY,2019-05-05,€44.000000,1877.210000 kg,162.950000 L,6398 km
LCY,TXL,2019-05-19,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,AMS,2019-05-25,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,EIN,2019-06-08,€5.000000,31.600000 kg,8.000000 L,154 km
EIN,UGN,2019-06-28,€46.000000,1993.220000 kg,172.790000 L,6722 km
UGN,BZR,2019-06-28,€49.000000,2122.870000 kg,183.790000 L,7075 km
BZR,UGN,2019-07-13,€49.000000,2122.870000 kg,183.790000 L,7075 km
UGN,LIN,2019-07-13,€52.000000,2224.680000 kg,192.410000 L,7333 km
LIN,GVA,2019-07-20,€5.000000,67.660000 kg,14.440000 L,310 km
GVA,ZAD,2019-07-24,€6.000000,236.800000 kg,25.630000 L,812 km
ZAD,AMS,2019-08-03,€9.000000,358.410000 kg,35.430000 L,1252 km
AMS,TAR,2019-08-04,€11.000000,461.930000 kg,43.810000 L,1671 km
TAR,SUI,2019-08-10,€13.000000,553.610000 kg,51.260000 L,2044 km
SUI,HEM,2019-08-24,€14.000000,606.660000 kg,55.690000 L,2269 km
HEM,PUY,2019-08-28,€13.000000,521.780000 kg,48.660000 L,1914 km
PUY,LBG,2019-09-07,€7.000000,303.840000 kg,31.010000 L,1031 km
LBG,TXL,2019-09-14,€7.000000,268.020000 kg,28.130000 L,911 km
TXL,MAN,2019-09-21,€8.000000,319.570000 kg,32.280000 L,1095 km
MAN,UGN,2019-11-09,€42.000000,1793.240000 kg,155.820000 L,6165 km
UGN,NAP,2019-11-09,€57.000000,2474.640000 kg,213.570000 L,7966 km
NAP,LBG,2019-11-10,€9.000000,380.770000 kg,37.240000 L,1343 km
LBG,UGN,2019-12-04,€46.000000,1980.600000 kg,171.720000 L,6686 km
UGN,HND,2019-12-04,€78.000000,3355.290000 kg,288.150000 L,10156 km
HND,NGO,2019-12-07,€5.000000,67.710000 kg,14.440000 L,310 km
NGO,UGN,2019-12-15,€80.000000,3438.410000 kg,295.200000 L,10323 km
