DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MXP,FLR,2019-01-01,€5.000000,73.980000 kg,14.990000 L,332 km
FLR,MXP,2019-01-05,€5.000000,73.980000 kg,14.990000 L,332 km
GVA,BCN,2019-01-12,€5.000000,163.000000 kg,18.730000 L,687 km
BCN,MXP,2019-01-18,€6.000000,229.000000 kg,25.310000 L,769 km
MXP,DUB,2019-01-18,€10.000000,402.950000 kg,39.030000 L,1433 km
DUB,LHR,2019-01-19,€5.000000,128.000000 kg,16.960000 L,499 km
LHR,MXP,2019-01-25,€7.000000,266.000000 kg,27.340000 L,985 km
MXP,SDV,2019-01-25,€17.000000,718.900000 kg,65.060000 L,2743 km
SDV,IST,2019-01-26,€8.000000,346.150000 kg,34.440000 L,1203 km
IST,MXP,2019-02-15,€10.000000,422.000000 kg,39.740000 L,1749 km
MEL,SYD,2019-02-16,€112.000000,4837.000000 kg,414.430000 L,11694 km
MAD,MXP,2019-03-01,€7.000000,291.000000 kg,28.860000 L,1196 km
MXP,OBF,2019-03-01,€5.000000,96.170000 kg,16.320000 L,384 km
OBF,VIY,2019-03-02,€5.000000,210.120000 kg,23.580000 L,726 km
VIY,MXP,2019-03-08,€5.000000,189.910000 kg,22.240000 L,655 km
MXP,GLA,2019-03-08,€10.000000,421.290000 kg,40.520000 L,1507 km
GLA,MXP,2019-03-15,€10.000000,421.290000 kg,40.520000 L,1507 km
MXP,AMS,2019-03-15,€6.000000,249.000000 kg,26.830000 L,847 km
AMS,EDI,2019-03-16,€6.000000,223.000000 kg,25.060000 L,715 km
EDI,MXP,2019-03-22,€10.000000,413.240000 kg,39.870000 L,1474 km
MXP,ZRH,2019-03-22,€5.000000,54.000000 kg,13.670000 L,253 km
ZRH,MXP,2019-03-29,€5.000000,54.000000 kg,13.670000 L,253 km
MXP,BRU,2019-03-29,€7.000000,281.000000 kg,31.640000 L,715 km
BRU,MXP,2019-04-06,€7.000000,281.000000 kg,31.640000 L,715 km
MXP,LHR,2019-04-06,€7.000000,266.000000 kg,27.340000 L,985 km
LHR,MXP,2019-04-12,€7.000000,266.000000 kg,27.340000 L,985 km
MXP,MRS,2019-04-12,€5.000000,111.630000 kg,17.240000 L,421 km
MRS,MXP,2019-04-21,€5.000000,111.630000 kg,17.240000 L,421 km
MXP,AMS,2019-04-21,€6.000000,249.000000 kg,26.830000 L,847 km
AMS,MXP,2019-04-26,€6.000000,249.000000 kg,26.830000 L,847 km
MXP,MPL,2019-04-26,€5.000000,141.290000 kg,19.010000 L,491 km
MPL,MXP,2019-04-30,€5.000000,141.290000 kg,19.010000 L,491 km
MXP,DTM,2019-04-30,€5.000000,205.920000 kg,23.300000 L,711 km
DTM,LIM,2019-05-02,€84.000000,3648.270000 kg,312.980000 L,10743 km
LIM,EOH,2019-05-04,€13.000000,563.540000 kg,52.090000 L,2086 km
