DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,BRU,2019-01-25,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,TXL,2019-01-26,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,ANR,2019-02-08,€5.000000,195.650000 kg,22.620000 L,675 km
ANR,AVB,2019-02-09,€6.000000,256.590000 kg,27.220000 L,875 km
AVB,TXL,2019-02-16,€6.000000,225.010000 kg,24.690000 L,775 km
TXL,ARN,2019-02-16,€6.000000,233.000000 kg,24.810000 L,888 km
ARN,TXL,2019-02-23,€6.000000,233.000000 kg,24.810000 L,888 km
TXL,AMS,2019-02-23,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-03-01,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,LHR,2019-03-01,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-03-09,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,SXF,2019-03-09,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-03-23,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,BRU,2019-03-23,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,TXL,2019-04-10,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,DAD,2019-04-10,€67.000000,2875.310000 kg,247.500000 L,8982 km
DAD,KUL,2019-04-12,€11.000000,457.460000 kg,43.450000 L,1653 km
KUL,SGN,2019-04-13,€7.000000,296.000000 kg,29.870000 L,1101 km
SGN,TXL,2019-04-26,€70.000000,3016.660000 kg,259.470000 L,9340 km
TXL,CRL,2019-05-05,€5.000000,205.190000 kg,23.260000 L,708 km
CRL,TXL,2019-05-11,€5.000000,205.190000 kg,23.260000 L,708 km
TXL,LYN,2019-05-11,€7.000000,301.750000 kg,30.840000 L,1023 km
LYN,TXL,2019-05-17,€7.000000,301.750000 kg,30.840000 L,1023 km
TXL,VIE,2019-05-17,€5.000000,147.000000 kg,17.720000 L,596 km
VIE,AMS,2019-05-19,€8.000000,316.000000 kg,32.400000 L,1009 km
AMS,TXL,2019-05-25,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,BRU,2019-05-25,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,TXL,2019-05-31,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,AMS,2019-06-01,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-06-07,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,AMS,2019-06-07,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,EIN,2019-06-08,€5.000000,31.600000 kg,8.000000 L,154 km
EIN,TXL,2019-06-12,€5.000000,175.590000 kg,21.280000 L,606 km
TXL,CFU,2019-06-12,€8.000000,331.000000 kg,31.390000 L,1574 km
CFU,LIL,2019-06-14,€12.000000,499.470000 kg,46.850000 L,1823 km
LIL,TXL,2019-06-21,€6.000000,229.440000 kg,25.040000 L,789 km
TXL,ANR,2019-06-21,€5.000000,195.650000 kg,22.620000 L,675 km
TXL,ANR,2019-07-20,€5.000000,195.650000 kg,22.620000 L,675 km
ANR,TXL,2019-07-25,€5.000000,195.650000 kg,22.620000 L,675 km
TXL,AMS,2019-07-25,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,LHR,2019-07-27,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,TXL,2019-08-09,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,OST,2019-08-09,€6.000000,227.170000 kg,24.860000 L,782 km
OST,AMS,2019-08-10,€5.000000,47.190000 kg,11.940000 L,231 km
AMS,TXL,2019-08-17,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,BRU,2019-08-17,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,TXL,2019-08-30,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,AMS,2019-08-30,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-09-07,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,OST,2019-09-07,€6.000000,227.170000 kg,24.860000 L,782 km
OST,TXL,2019-09-19,€6.000000,227.170000 kg,24.860000 L,782 km
TXL,MAD,2019-09-19,€11.000000,455.000000 kg,42.530000 L,1901 km
MAD,TXL,2019-10-10,€11.000000,455.000000 kg,42.530000 L,1901 km
TXL,SXF,2019-10-10,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-10-19,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,AMS,2019-10-19,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-11-01,€5.000000,183.000000 kg,21.770000 L,628 km
MEL,SGN,2019-11-08,€112.000000,4837.000000 kg,414.430000 L,11694 km
SGN,TXL,2019-12-07,€70.000000,3016.660000 kg,259.470000 L,9340 km
TXL,EVN,2019-12-07,€17.000000,723.000000 kg,65.310000 L,2775 km
EVN,TXL,2019-12-14,€17.000000,723.000000 kg,65.310000 L,2775 km
