DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SMV,TXL,2019-01-11,€6.000000,222.790000 kg,24.510000 L,768 km
TXL,SMV,2019-01-19,€6.000000,222.790000 kg,24.510000 L,768 km
SMV,LCY,2019-01-19,€7.000000,281.240000 kg,29.190000 L,953 km
LCY,SMV,2019-02-02,€7.000000,281.240000 kg,29.190000 L,953 km
SMV,BRN,2019-02-02,€5.000000,47.640000 kg,12.060000 L,233 km
BRN,SMV,2019-02-08,€5.000000,47.640000 kg,12.060000 L,233 km
SMV,BCN,2019-02-08,€7.000000,264.360000 kg,27.840000 L,899 km
BCN,SMV,2019-02-16,€7.000000,264.360000 kg,27.840000 L,899 km
SMV,BHX,2019-02-16,€8.000000,324.320000 kg,32.670000 L,1114 km
BHX,SMV,2019-02-22,€8.000000,324.320000 kg,32.670000 L,1114 km
SMV,ORY,2019-02-22,€5.000000,191.080000 kg,22.310000 L,660 km
ORY,BMA,2019-02-23,€11.000000,445.090000 kg,42.450000 L,1603 km
BMA,SMV,2019-03-14,€11.000000,438.410000 kg,41.900000 L,1576 km
SMV,BRS,2019-03-14,€8.000000,324.020000 kg,32.640000 L,1113 km
BRS,LCY,2019-03-15,€5.000000,49.700000 kg,12.580000 L,243 km
LCY,AMS,2019-03-16,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,SMV,2019-03-22,€6.000000,230.150000 kg,25.100000 L,791 km
SMV,MAN,2019-03-22,€8.000000,345.570000 kg,34.390000 L,1200 km
MAN,SMV,2019-03-30,€8.000000,345.570000 kg,34.390000 L,1200 km
SMV,MLH,2019-03-30,€5.000000,60.310000 kg,13.760000 L,283 km
MLH,SMV,2019-04-05,€5.000000,60.310000 kg,13.760000 L,283 km
SMV,ANR,2019-04-05,€5.000000,202.920000 kg,23.100000 L,701 km
ANR,TXL,2019-04-06,€5.000000,195.650000 kg,22.620000 L,675 km
TXL,AMS,2019-04-07,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,SMV,2019-04-13,€6.000000,230.150000 kg,25.100000 L,791 km
SMV,LCY,2019-04-13,€7.000000,281.240000 kg,29.190000 L,953 km
LCY,SMV,2019-04-17,€7.000000,281.240000 kg,29.190000 L,953 km
