DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
HND,LHR,2019-02-23,€73.000000,3139.550000 kg,269.870000 L,9651 km
LHR,TXL,2019-02-23,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-04-27,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-04-27,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-05-25,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,BRU,2019-05-25,€5.000000,103.000000 kg,16.450000 L,399 km
BRU,LHR,2019-07-13,€5.000000,103.000000 kg,16.450000 L,399 km
LHR,LGA,2019-07-13,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,MRS,2019-07-25,€43.000000,1852.820000 kg,160.880000 L,6330 km
MRS,LHR,2019-08-03,€8.000000,306.120000 kg,31.190000 L,1040 km
LHR,DCA,2019-09-12,€40.000000,1711.680000 kg,148.900000 L,5937 km
DCA,TXL,2019-09-20,€47.000000,2008.140000 kg,174.060000 L,6763 km
TXL,LHR,2019-10-05,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,HND,2019-10-05,€73.000000,3139.550000 kg,269.870000 L,9651 km
HND,LHR,2019-11-01,€73.000000,3139.550000 kg,269.870000 L,9651 km
LHR,YHU,2019-11-01,€35.000000,1479.450000 kg,129.190000 L,5290 km
YHU,DET,2019-11-02,€6.000000,243.320000 kg,26.150000 L,833 km
DET,LHR,2019-11-30,€41.000000,1757.660000 kg,152.810000 L,6065 km
