DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LHR,BCN,2019-01-18,€7.000000,297.000000 kg,29.620000 L,1197 km
BCN,LHR,2019-01-27,€7.000000,297.000000 kg,29.620000 L,1197 km
LHR,EWR,2019-02-08,€34.000000,1468.000000 kg,128.100000 L,5610 km
EWR,LHR,2019-02-09,€34.000000,1468.000000 kg,128.100000 L,5610 km
LHR,ABQ,2019-02-15,€58.000000,2517.430000 kg,217.200000 L,8075 km
ABQ,HHR,2019-02-16,€8.000000,329.320000 kg,33.070000 L,1134 km
HHR,LBA,2019-02-24,€63.000000,2718.030000 kg,234.180000 L,8583 km
LBA,LHR,2019-03-02,€5.000000,72.550000 kg,14.890000 L,328 km
LHR,TXL,2019-03-08,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,BHX,2019-03-09,€8.000000,312.780000 kg,31.730000 L,1067 km
BHX,LHR,2019-03-13,€5.000000,38.820000 kg,9.820000 L,190 km
LHR,STN,2019-03-30,€5.000000,23.680000 kg,5.990000 L,116 km
STN,LHR,2019-04-07,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,HUY,2019-04-21,€5.000000,70.910000 kg,14.740000 L,322 km
HUY,LHR,2019-04-26,€5.000000,70.910000 kg,14.740000 L,322 km
LHR,LPL,2019-04-26,€5.000000,68.570000 kg,14.520000 L,313 km
LPL,SWS,2019-04-27,€5.000000,53.580000 kg,13.140000 L,259 km
SWS,LHR,2019-05-17,€5.000000,64.810000 kg,14.180000 L,300 km
LHR,IBZ,2019-05-17,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,LHR,2019-05-25,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,AMS,2019-05-25,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,LBA,2019-05-26,€5.000000,181.000000 kg,23.540000 L,510 km
LBA,LHR,2019-05-29,€5.000000,72.550000 kg,14.890000 L,328 km
LHR,ZRH,2019-05-29,€5.000000,207.000000 kg,22.270000 L,835 km
ZRH,LHR,2019-06-07,€5.000000,207.000000 kg,22.270000 L,835 km
LHR,IBZ,2019-06-07,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,LHR,2019-06-15,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,IBZ,2019-06-15,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,LHR,2019-06-22,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,BRS,2019-06-22,€5.000000,42.240000 kg,10.690000 L,207 km
BRS,LHR,2019-07-07,€5.000000,42.240000 kg,10.690000 L,207 km
LHR,IBZ,2019-07-07,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,LHR,2019-07-20,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,BCN,2019-07-21,€7.000000,297.000000 kg,29.620000 L,1197 km
BCN,IBZ,2019-07-23,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,LHR,2019-07-27,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,WTN,2019-07-27,€5.000000,48.680000 kg,12.320000 L,238 km
WTN,LHR,2019-08-02,€5.000000,48.680000 kg,12.320000 L,238 km
LHR,IBZ,2019-08-02,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,LHR,2019-08-09,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,SNC,2019-08-09,€72.000000,3121.920000 kg,268.380000 L,9607 km
SNC,IBZ,2019-08-18,€72.000000,3103.320000 kg,266.810000 L,9559 km
IBZ,LHR,2019-08-30,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,MRS,2019-08-30,€8.000000,306.120000 kg,31.190000 L,1040 km
MRS,IBZ,2019-08-31,€5.000000,197.000000 kg,23.030000 L,649 km
IBZ,LHR,2019-09-07,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,HUY,2019-09-07,€5.000000,70.910000 kg,14.740000 L,322 km
HUY,LHR,2019-09-12,€5.000000,70.910000 kg,14.740000 L,322 km
LHR,FAO,2019-09-12,€12.000000,484.810000 kg,45.660000 L,1764 km
FAO,LHR,2019-09-18,€12.000000,484.810000 kg,45.660000 L,1764 km
LHR,IBZ,2019-09-18,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,LHR,2019-09-21,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,IBZ,2019-09-27,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,LBA,2019-09-28,€11.000000,477.610000 kg,45.080000 L,1735 km
LBA,LHR,2019-10-20,€5.000000,72.550000 kg,14.890000 L,328 km
LHR,AMS,2019-10-20,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,LHR,2019-10-26,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,LBA,2019-10-26,€5.000000,72.550000 kg,14.890000 L,328 km
LBA,LHR,2019-11-08,€5.000000,72.550000 kg,14.890000 L,328 km
LHR,DUB,2019-11-08,€5.000000,128.000000 kg,16.960000 L,499 km
DUB,LHR,2019-11-23,€5.000000,128.000000 kg,16.960000 L,499 km
LHR,LGA,2019-12-19,€37.000000,1587.960000 kg,138.400000 L,5593 km
MEL,LHR,2019-12-31,€112.000000,4837.000000 kg,414.430000 L,11694 km
