DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CDG,DXB,2019-01-25,€37.000000,1570.000000 kg,137.210000 L,5285 km
DXB,CDG,2019-02-14,€37.000000,1570.000000 kg,137.210000 L,5285 km
CDG,GDL,2019-02-14,€71.000000,3055.960000 kg,262.800000 L,9439 km
GDL,CDG,2019-03-02,€71.000000,3055.960000 kg,262.800000 L,9439 km
CDG,ZRH,2019-03-02,€5.000000,161.000000 kg,20.750000 L,525 km
ZRH,CDG,2019-03-08,€5.000000,161.000000 kg,20.750000 L,525 km
CDG,DUB,2019-03-08,€8.000000,338.000000 kg,36.450000 L,834 km
DUB,CDG,2019-04-12,€8.000000,338.000000 kg,36.450000 L,834 km
CDG,IEV,2019-04-12,€13.000000,555.710000 kg,51.440000 L,2053 km
IEV,BCN,2019-04-13,€15.000000,650.220000 kg,59.330000 L,2453 km
BCN,CDG,2019-04-20,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,SHA,2019-04-20,€69.000000,2997.920000 kg,257.880000 L,9292 km
SHA,DPS,2019-04-27,€29.000000,1218.120000 kg,107.020000 L,4563 km
DPS,DEL,2019-05-03,€39.000000,1690.220000 kg,147.080000 L,5878 km
DEL,HYD,2019-05-04,€7.000000,283.000000 kg,27.840000 L,1312 km
HYD,BLR,2019-05-05,€5.000000,92.000000 kg,12.150000 L,504 km
BLR,VIY,2019-05-08,€57.000000,2456.420000 kg,212.030000 L,7920 km
VIY,CDG,2019-05-17,€5.000000,17.960000 kg,4.540000 L,88 km
CDG,LGA,2019-05-17,€39.000000,1693.720000 kg,147.380000 L,5887 km
LGA,IBZ,2019-05-23,€43.000000,1833.160000 kg,159.210000 L,6276 km
IBZ,AEP,2019-05-25,€79.000000,3416.180000 kg,293.310000 L,10278 km
AEP,SCL,2019-05-31,€7.000000,286.000000 kg,28.350000 L,1197 km
SCL,RLG,2019-06-08,€106.000000,4576.330000 kg,391.640000 L,12601 km
RLG,CDG,2019-06-14,€7.000000,269.700000 kg,28.270000 L,916 km
CDG,GVA,2019-06-14,€5.000000,105.000000 kg,14.930000 L,457 km
GVA,IST,2019-06-15,€11.000000,466.000000 kg,43.290000 L,1960 km
CDG,BEG,2019-07-04,€10.000000,418.000000 kg,40.250000 L,1473 km
TXL,JMK,2019-07-11,€13.000000,537.440000 kg,49.920000 L,1977 km
JMK,ABQ,2019-07-12,€83.000000,3584.140000 kg,307.550000 L,10615 km
ABQ,YTZ,2019-07-13,€16.000000,676.570000 kg,61.530000 L,2564 km
YTZ,BCN,2019-07-17,€44.000000,1899.600000 kg,164.850000 L,6461 km
BCN,CDG,2019-07-20,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,LCY,2019-07-20,€5.000000,94.010000 kg,16.190000 L,379 km
LCY,CDG,2019-07-27,€5.000000,94.010000 kg,16.190000 L,379 km
CDG,AGP,2019-07-27,€8.000000,335.000000 kg,32.150000 L,1532 km
AGP,CDG,2019-08-10,€8.000000,335.000000 kg,32.150000 L,1532 km
CDG,AMS,2019-08-10,€5.000000,111.000000 kg,15.940000 L,448 km
AMS,CDG,2019-08-17,€5.000000,111.000000 kg,15.940000 L,448 km
EOH,BMA,2019-09-06,€73.000000,3148.280000 kg,270.620000 L,9673 km
BMA,CDG,2019-09-27,€11.000000,436.590000 kg,41.760000 L,1569 km
CDG,TXL,2019-09-27,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,HAM,2019-09-28,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,CDG,2019-10-04,€5.000000,214.000000 kg,23.540000 L,777 km
CDG,LCY,2019-10-04,€5.000000,94.010000 kg,16.190000 L,379 km
LCY,CDG,2019-10-12,€5.000000,94.010000 kg,16.190000 L,379 km
CDG,NVT,2019-10-12,€75.000000,3240.790000 kg,278.450000 L,9908 km
NVT,AMS,2019-10-19,€79.000000,3416.740000 kg,293.360000 L,10279 km
AMS,CDG,2019-10-23,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,VIY,2019-10-23,€5.000000,17.960000 kg,4.540000 L,88 km
VIY,CDG,2019-10-26,€5.000000,17.960000 kg,4.540000 L,88 km
CDG,BCN,2019-10-26,€6.000000,219.000000 kg,23.030000 L,908 km
BCN,CDG,2019-11-08,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,SYD,2019-11-08,€38.000000,1632.000000 kg,142.530000 L,5301 km
SYD,MEL,2019-11-16,€106.000000,4602.000000 kg,394.170000 L,12102 km
MEL,LHR,2019-11-22,€112.000000,4837.000000 kg,414.430000 L,11694 km
LHR,DAL,2019-11-23,€55.000000,2360.650000 kg,203.920000 L,7678 km
DAL,SFO,2019-11-29,€15.000000,643.170000 kg,58.740000 L,2423 km
SFO,LGA,2019-11-30,€25.000000,1086.830000 kg,95.880000 L,4197 km
LGA,NZY,2019-12-07,€24.000000,1009.460000 kg,89.320000 L,3972 km
NZY,GVA,2019-12-14,€72.000000,3125.210000 kg,268.660000 L,9615 km
GVA,CDG,2019-12-21,€5.000000,105.000000 kg,14.930000 L,457 km
CDG,AMS,2019-12-21,€5.000000,111.000000 kg,15.940000 L,448 km
AMS,CDG,2019-12-31,€5.000000,111.000000 kg,15.940000 L,448 km
