DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LTQ,MPL,2019-02-02,€6.000000,246.080000 kg,26.370000 L,842 km
MPL,LTQ,2019-02-09,€6.000000,246.080000 kg,26.370000 L,842 km
LTQ,MAN,2019-02-09,€5.000000,129.260000 kg,18.290000 L,462 km
MAN,LTQ,2019-02-23,€5.000000,129.260000 kg,18.290000 L,462 km
LTQ,LBA,2019-02-23,€5.000000,138.380000 kg,18.840000 L,484 km
LBA,BCN,2019-02-24,€10.000000,413.630000 kg,39.900000 L,1476 km
BCN,LTQ,2019-03-02,€8.000000,314.930000 kg,31.910000 L,1076 km
LTQ,LHR,2019-03-02,€5.000000,46.950000 kg,11.880000 L,230 km
LHR,LTQ,2019-03-10,€5.000000,46.950000 kg,11.880000 L,230 km
LTQ,TXL,2019-03-10,€7.000000,261.060000 kg,27.570000 L,889 km
TXL,LTQ,2019-03-15,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,CLO,2019-03-15,€66.000000,2858.370000 kg,246.070000 L,8939 km
CLO,LGA,2019-03-16,€26.000000,1095.620000 kg,96.620000 L,4221 km
LGA,ANR,2019-03-23,€40.000000,1707.610000 kg,148.560000 L,5926 km
ANR,LTQ,2019-03-29,€5.000000,54.740000 kg,13.250000 L,263 km
LTQ,PRG,2019-03-29,€7.000000,283.920000 kg,29.410000 L,961 km
PRG,AMS,2019-03-30,€6.000000,229.000000 kg,25.310000 L,753 km
AMS,LTQ,2019-04-07,€5.000000,80.370000 kg,15.370000 L,347 km
LTQ,IBZ,2019-04-07,€9.000000,381.730000 kg,37.320000 L,1347 km
IBZ,LTQ,2019-04-19,€9.000000,381.730000 kg,37.320000 L,1347 km
LTQ,LPA,2019-04-19,€18.000000,766.980000 kg,69.080000 L,2947 km
LPA,MLH,2019-04-20,€18.000000,781.820000 kg,70.310000 L,3009 km
MLH,LTQ,2019-04-28,€5.000000,164.490000 kg,20.540000 L,567 km
LTQ,TXL,2019-04-28,€7.000000,261.060000 kg,27.570000 L,889 km
TXL,LTQ,2019-05-03,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,ORY,2019-05-03,€5.000000,53.160000 kg,13.100000 L,257 km
ORY,LTQ,2019-05-17,€5.000000,53.160000 kg,13.100000 L,257 km
LTQ,MLH,2019-05-17,€5.000000,164.490000 kg,20.540000 L,567 km
MLH,LTQ,2019-05-31,€5.000000,164.490000 kg,20.540000 L,567 km
ZRH,RLG,2019-06-02,€6.000000,237.980000 kg,25.730000 L,816 km
RLG,LTQ,2019-06-10,€6.000000,254.650000 kg,27.060000 L,869 km
LTQ,TXL,2019-06-10,€7.000000,261.060000 kg,27.570000 L,889 km
TXL,LTQ,2019-07-13,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,EZE,2019-07-13,€90.000000,3886.410000 kg,333.170000 L,11220 km
EZE,BCN,2019-07-18,€82.000000,3564.000000 kg,305.820000 L,10522 km
BCN,LTQ,2019-08-03,€8.000000,314.930000 kg,31.910000 L,1076 km
LTQ,LED,2019-08-03,€14.000000,570.100000 kg,52.640000 L,2114 km
LED,LTQ,2019-08-09,€14.000000,570.100000 kg,52.640000 L,2114 km
LTQ,IBZ,2019-08-09,€9.000000,381.730000 kg,37.320000 L,1347 km
IBZ,LTQ,2019-08-31,€9.000000,381.730000 kg,37.320000 L,1347 km
LTQ,MAN,2019-08-31,€5.000000,129.260000 kg,18.290000 L,462 km
MAN,LTQ,2019-09-15,€5.000000,129.260000 kg,18.290000 L,462 km
LTQ,IBZ,2019-09-15,€9.000000,381.730000 kg,37.320000 L,1347 km
IBZ,LTQ,2019-09-21,€9.000000,381.730000 kg,37.320000 L,1347 km
LTQ,LHR,2019-09-21,€5.000000,46.950000 kg,11.880000 L,230 km
LHR,LTQ,2019-09-27,€5.000000,46.950000 kg,11.880000 L,230 km
LTQ,VIY,2019-09-27,€5.000000,50.640000 kg,12.820000 L,248 km
VIY,HRT,2019-09-28,€5.000000,197.910000 kg,22.770000 L,683 km
HRT,LTQ,2019-10-02,€5.000000,140.350000 kg,18.960000 L,489 km
LTQ,TXL,2019-10-02,€7.000000,261.060000 kg,27.570000 L,889 km
TXL,LTQ,2019-10-09,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,IBZ,2019-10-09,€9.000000,381.730000 kg,37.320000 L,1347 km
IBZ,LTQ,2019-10-27,€9.000000,381.730000 kg,37.320000 L,1347 km
LTQ,TXL,2019-10-27,€7.000000,261.060000 kg,27.570000 L,889 km
TXL,LTQ,2019-11-03,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,BHX,2019-11-03,€5.000000,88.840000 kg,15.880000 L,367 km
BHX,LTQ,2019-11-09,€5.000000,88.840000 kg,15.880000 L,367 km
LTQ,LBA,2019-11-09,€5.000000,138.380000 kg,18.840000 L,484 km
LBA,LTQ,2019-11-29,€5.000000,138.380000 kg,18.840000 L,484 km
LTQ,LHR,2019-11-29,€5.000000,46.950000 kg,11.880000 L,230 km
LHR,LTQ,2019-12-08,€5.000000,46.950000 kg,11.880000 L,230 km
LTQ,LHR,2019-12-08,€5.000000,46.950000 kg,11.880000 L,230 km
LHR,LTQ,2019-12-20,€5.000000,46.950000 kg,11.880000 L,230 km
MEL,SYD,2019-12-22,€112.000000,4837.000000 kg,414.430000 L,11694 km
SYD,LTQ,2019-12-28,€106.000000,4602.000000 kg,394.170000 L,12102 km
