DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
HAM,TXL,2019-03-15,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,BRU,2019-03-16,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,MRS,2019-03-22,€9.000000,355.000000 kg,37.720000 L,880 km
MRS,BRS,2019-03-23,€8.000000,324.790000 kg,32.700000 L,1116 km
BRS,LGA,2019-04-01,€36.000000,1535.350000 kg,133.940000 L,5446 km
LGA,LAX,2019-04-18,€24.000000,1023.260000 kg,90.480000 L,4020 km
LAX,SYD,2019-04-18,€117.000000,5045.910000 kg,431.450000 L,13542 km
SYD,MEL,2019-04-27,€106.000000,4602.000000 kg,394.170000 L,12102 km
MEL,WLG,2019-05-03,€112.000000,4837.000000 kg,414.430000 L,11694 km
WLG,VIE,2019-05-17,€126.000000,5440.590000 kg,464.900000 L,14332 km
VIE,LGA,2019-05-18,€47.000000,2034.950000 kg,176.330000 L,6838 km
LGA,LAX,2019-05-31,€24.000000,1023.260000 kg,90.480000 L,4020 km
LAX,PMO,2019-05-31,€83.000000,3598.880000 kg,308.800000 L,10644 km
PMO,MAN,2019-06-01,€14.000000,572.660000 kg,52.850000 L,2125 km
MAN,BFI,2019-06-15,€53.000000,2295.440000 kg,198.400000 L,7512 km
BFI,LAX,2019-06-22,€11.000000,443.900000 kg,42.350000 L,1598 km
LAX,LGA,2019-06-22,€24.000000,1023.260000 kg,90.480000 L,4020 km
LGA,LAX,2019-07-09,€24.000000,1023.260000 kg,90.480000 L,4020 km
LAX,LGA,2019-07-09,€24.000000,1023.260000 kg,90.480000 L,4020 km
LGA,LAX,2019-07-26,€24.000000,1023.260000 kg,90.480000 L,4020 km
OBF,XFW,2019-08-09,€5.000000,191.930000 kg,22.370000 L,662 km
XFW,LHR,2019-08-17,€6.000000,228.080000 kg,24.930000 L,785 km
LHR,TXL,2019-08-28,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,EBB,2019-09-05,€42.000000,1792.350000 kg,155.750000 L,6162 km
EBB,LAX,2019-10-11,€0.000000,0.000000 kg,0.000000 L,0 km
LAX,LGA,2019-10-11,€24.000000,1023.260000 kg,90.480000 L,4020 km
LGA,LAX,2019-10-18,€24.000000,1023.260000 kg,90.480000 L,4020 km
LAX,LGA,2019-10-18,€24.000000,1023.260000 kg,90.480000 L,4020 km
LGA,LAX,2019-10-24,€24.000000,1023.260000 kg,90.480000 L,4020 km
LAX,LGA,2019-10-24,€24.000000,1023.260000 kg,90.480000 L,4020 km
LGA,YTZ,2019-10-26,€5.000000,175.710000 kg,21.290000 L,606 km
YTZ,LAX,2019-11-15,€22.000000,913.350000 kg,81.300000 L,3565 km
LAX,HOU,2019-11-15,€15.000000,609.700000 kg,55.940000 L,2282 km
HOU,LAX,2019-11-23,€15.000000,609.700000 kg,55.940000 L,2282 km
LAX,HND,2019-11-23,€73.000000,3133.000000 kg,269.870000 L,8860 km
HND,KWL,2019-11-29,€19.000000,804.320000 kg,72.190000 L,3104 km
KWL,ORY,2019-12-05,€69.000000,2956.890000 kg,254.410000 L,9188 km
ORY,LAX,2019-12-21,€68.000000,2952.420000 kg,254.030000 L,9177 km
LAX,LGA,2019-12-21,€24.000000,1023.260000 kg,90.480000 L,4020 km
LGA,LAX,2019-12-31,€24.000000,1023.260000 kg,90.480000 L,4020 km
