DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BGO,EDI,2019-01-14,€5.000000,85.000000 kg,21.510000 L,745 km
EDI,BGO,2019-01-17,€5.000000,85.000000 kg,21.510000 L,745 km
BGO,YHU,2019-01-17,€34.000000,1466.300000 kg,128.080000 L,5254 km
YHU,BOS,2019-01-19,€5.000000,152.480000 kg,19.730000 L,525 km
BOS,TXL,2019-01-25,€41.000000,1778.870000 kg,154.600000 L,6125 km
TXL,BGO,2019-02-01,€8.000000,306.550000 kg,31.230000 L,1042 km
BGO,TXL,2019-02-01,€8.000000,306.550000 kg,31.230000 L,1042 km
TXL,WOE,2019-02-02,€5.000000,195.870000 kg,22.630000 L,676 km
WOE,BGO,2019-02-07,€8.000000,305.450000 kg,31.140000 L,1038 km
BGO,TNT,2019-02-07,€11.000000,464.280000 kg,44.000000 L,1681 km
TNT,ATL,2019-02-08,€56.000000,2422.880000 kg,209.190000 L,7835 km
ATL,LGA,2019-02-09,€8.000000,321.000000 kg,31.640000 L,1273 km
LGA,PHX,2019-02-14,€21.000000,899.360000 kg,80.130000 L,3506 km
PHX,SAN,2019-02-15,€5.000000,122.000000 kg,15.440000 L,538 km
SAN,PDX,2019-02-16,€9.000000,358.000000 kg,34.170000 L,1550 km
PDX,OSL,2019-02-22,€54.000000,2324.570000 kg,200.870000 L,7586 km
OSL,BGO,2019-03-02,€5.000000,82.000000 kg,14.170000 L,373 km
BGO,LYN,2019-03-02,€11.000000,462.010000 kg,43.820000 L,1672 km
LYN,BGO,2019-03-08,€11.000000,462.010000 kg,43.820000 L,1672 km
BGO,BEY,2019-03-08,€22.000000,949.470000 kg,84.310000 L,3718 km
BEY,FRA,2019-03-09,€16.000000,688.000000 kg,62.020000 L,2886 km
FRA,BGO,2019-03-16,€9.000000,379.000000 kg,37.460000 L,1209 km
BGO,LIN,2019-03-16,€11.000000,475.020000 kg,44.870000 L,1724 km
LIN,BGO,2019-03-23,€11.000000,475.020000 kg,44.870000 L,1724 km
