DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
STN,LHR,2019-06-07,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-07-04,€5.000000,23.680000 kg,5.990000 L,116 km
STN,BEG,2019-07-04,€11.000000,477.360000 kg,45.060000 L,1734 km
BEG,EIN,2019-07-05,€10.000000,392.070000 kg,38.150000 L,1388 km
EIN,STN,2019-07-11,€5.000000,106.360000 kg,16.920000 L,408 km
STN,PZY,2019-07-11,€9.000000,382.270000 kg,37.360000 L,1349 km
PZY,CRL,2019-07-13,€8.000000,305.020000 kg,31.100000 L,1036 km
CRL,STN,2019-07-17,€5.000000,96.540000 kg,16.340000 L,385 km
STN,BCN,2019-07-17,€9.000000,354.420000 kg,35.100000 L,1236 km
BCN,ANR,2019-07-19,€8.000000,336.820000 kg,33.680000 L,1165 km
ANR,BCN,2019-07-20,€8.000000,336.820000 kg,33.680000 L,1165 km
BCN,STN,2019-07-26,€9.000000,354.420000 kg,35.100000 L,1236 km
STN,ANR,2019-07-26,€5.000000,82.860000 kg,15.520000 L,353 km
ANR,STN,2019-10-05,€5.000000,82.860000 kg,15.520000 L,353 km
STN,MEX,2019-10-05,€67.000000,2880.570000 kg,247.950000 L,8995 km
MEX,STN,2019-10-25,€67.000000,2880.570000 kg,247.950000 L,8995 km
STN,PRG,2019-10-25,€8.000000,311.790000 kg,31.650000 L,1063 km
PRG,STN,2019-10-30,€8.000000,311.790000 kg,31.650000 L,1063 km
STN,ANR,2019-10-30,€5.000000,82.860000 kg,15.520000 L,353 km
ANR,CDG,2019-10-31,€5.000000,72.250000 kg,14.860000 L,327 km
CDG,ANR,2019-11-01,€5.000000,72.250000 kg,14.860000 L,327 km
ANR,STN,2019-11-23,€5.000000,82.860000 kg,15.520000 L,353 km
STN,MAN,2019-11-23,€5.000000,60.600000 kg,13.790000 L,284 km
MAN,STN,2019-12-28,€5.000000,60.600000 kg,13.790000 L,284 km
SYD,STN,2019-12-31,€106.000000,4602.000000 kg,394.170000 L,12102 km
