DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
NRT,HND,2019-01-02,€5.000000,21.450000 kg,5.430000 L,105 km
HND,NRT,2019-05-09,€5.000000,21.450000 kg,5.430000 L,105 km
NRT,LBG,2019-05-09,€74.000000,3188.790000 kg,274.050000 L,9776 km
LBG,ORY,2019-05-11,€5.000000,15.960000 kg,4.040000 L,78 km
ORY,NRT,2019-06-30,€74.000000,3199.060000 kg,274.910000 L,9802 km
NRT,SIR,2019-06-30,€74.000000,3204.700000 kg,275.390000 L,9816 km
SIR,NRT,2019-07-27,€74.000000,3204.700000 kg,275.390000 L,9816 km
NRT,ITM,2019-07-27,€5.000000,132.000000 kg,17.210000 L,510 km
NRT,ITM,2019-09-15,€5.000000,132.000000 kg,17.210000 L,510 km
ITM,NRT,2019-11-23,€5.000000,132.000000 kg,17.210000 L,510 km
NRT,MEB,2019-11-23,€60.000000,2583.190000 kg,222.770000 L,8242 km
MEB,NRT,2019-12-11,€60.000000,2583.190000 kg,222.770000 L,8242 km
NRT,HND,2019-12-11,€5.000000,21.450000 kg,5.430000 L,105 km
HND,NRT,2019-12-30,€5.000000,21.450000 kg,5.430000 L,105 km
