DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MAN,SFO,2019-01-01,€62.000000,2661.820000 kg,229.430000 L,8441 km
SFO,LHR,2019-01-05,€64.000000,2758.000000 kg,237.720000 L,8663 km
LHR,DET,2019-01-12,€41.000000,1757.660000 kg,152.810000 L,6065 km
DET,ESH,2019-01-25,€41.000000,1772.620000 kg,154.070000 L,6107 km
ESH,LPL,2019-01-26,€5.000000,94.010000 kg,16.190000 L,379 km
LPL,MAN,2019-02-01,€5.000000,18.340000 kg,4.640000 L,89 km
MAN,AUH,2019-02-01,€41.000000,1760.000000 kg,153.410000 L,5726 km
DPS,SYD,2019-02-16,€54.000000,2334.240000 kg,201.690000 L,7611 km
SYD,MEL,2019-02-17,€106.000000,4602.000000 kg,394.170000 L,12102 km
BCN,MAN,2019-03-07,€10.000000,402.300000 kg,38.980000 L,1430 km
MAN,DXB,2019-03-07,€36.000000,1523.000000 kg,132.650000 L,5700 km
DXB,AMS,2019-03-08,€40.000000,1720.000000 kg,150.370000 L,5216 km
AMS,MAN,2019-03-16,€5.000000,157.000000 kg,20.000000 L,534 km
MAN,LHR,2019-03-16,€5.000000,49.000000 kg,12.400000 L,291 km
LHR,MAN,2019-03-22,€5.000000,49.000000 kg,12.400000 L,291 km
MAN,DCA,2019-03-22,€38.000000,1647.660000 kg,143.470000 L,5759 km
DCA,LHR,2019-03-28,€40.000000,1711.680000 kg,148.900000 L,5937 km
LHR,LGA,2019-03-29,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,DAL,2019-04-05,€14.000000,607.160000 kg,55.730000 L,2271 km
DAL,INN,2019-04-08,€64.000000,2744.830000 kg,236.450000 L,8651 km
INN,MAN,2019-04-12,€9.000000,352.400000 kg,34.940000 L,1228 km
MAN,ZAG,2019-04-12,€11.000000,448.040000 kg,42.680000 L,1615 km
ZAG,SKU,2019-04-13,€8.000000,316.470000 kg,32.030000 L,1082 km
SKU,MAN,2019-04-20,€17.000000,695.740000 kg,63.130000 L,2645 km
