DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TBS,TXL,2019-01-04,€17.000000,705.980000 kg,63.980000 L,2689 km
TXL,BTS,2019-01-18,€5.000000,177.560000 kg,21.410000 L,613 km
BTS,TBS,2019-02-09,€15.000000,618.490000 kg,56.680000 L,2319 km
TBS,LGA,2019-02-09,€67.000000,2889.110000 kg,248.670000 L,9017 km
LGA,CUU,2019-02-16,€20.000000,840.840000 kg,75.240000 L,3259 km
CUU,BOS,2019-02-26,€21.000000,906.070000 kg,80.690000 L,3535 km
BOS,TBS,2019-03-29,€64.000000,2773.630000 kg,238.890000 L,8724 km
TBS,LGA,2019-03-29,€67.000000,2889.110000 kg,248.670000 L,9017 km
LGA,TBS,2019-04-27,€67.000000,2889.110000 kg,248.670000 L,9017 km
TBS,GRU,2019-04-27,€98.000000,4221.620000 kg,361.580000 L,11891 km
SSN,TBS,2019-05-18,€47.000000,2034.150000 kg,176.270000 L,6836 km
TBS,LGA,2019-06-07,€67.000000,2889.110000 kg,248.670000 L,9017 km
LGA,BOS,2019-06-09,€5.000000,78.000000 kg,14.680000 L,346 km
BOS,TBS,2019-09-01,€64.000000,2773.630000 kg,238.890000 L,8724 km
TBS,YHU,2019-09-01,€63.000000,2734.810000 kg,235.610000 L,8626 km
YHU,TBS,2019-10-10,€63.000000,2734.810000 kg,235.610000 L,8626 km
TBS,DCA,2019-10-10,€70.000000,3022.590000 kg,259.970000 L,9355 km
DCA,AMS,2019-10-17,€42.000000,1822.150000 kg,158.280000 L,6245 km
AMS,TBS,2019-10-18,€25.000000,1068.000000 kg,95.440000 L,3269 km
TBS,TXL,2019-10-25,€17.000000,705.980000 kg,63.980000 L,2689 km
TXL,TBS,2019-11-16,€17.000000,705.980000 kg,63.980000 L,2689 km
TBS,BIF,2019-11-16,€82.000000,3525.840000 kg,302.610000 L,10498 km
BIF,TBS,2019-12-31,€82.000000,3525.840000 kg,302.610000 L,10498 km
