DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,OBF,2019-01-05,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-02-16,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,LCY,2019-02-16,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,TXL,2019-02-22,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,OBF,2019-02-22,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-02-23,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,OBF,2019-03-05,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-03-22,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,OBF,2019-03-22,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-04-06,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,OBF,2019-04-06,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-04-12,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,TRN,2019-04-12,€7.000000,277.000000 kg,28.860000 L,964 km
TRN,TXL,2019-04-21,€7.000000,277.000000 kg,28.860000 L,964 km
TXL,OBF,2019-04-30,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-05-11,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,LEJ,2019-05-11,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,TXL,2019-05-25,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,OBF,2019-05-25,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-06-08,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,BRU,2019-06-08,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,OBF,2019-06-09,€5.000000,183.300000 kg,21.790000 L,632 km
OBF,TXL,2019-06-23,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,YEO,2019-06-26,€8.000000,335.080000 kg,33.540000 L,1158 km
YEO,TXL,2019-07-11,€8.000000,335.080000 kg,33.540000 L,1158 km
TXL,MHP,2019-07-11,€8.000000,305.730000 kg,31.160000 L,1039 km
MHP,OBF,2019-07-13,€10.000000,391.830000 kg,38.130000 L,1388 km
OBF,TXL,2019-08-03,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,OBF,2019-08-03,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-08-17,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,PRN,2019-08-17,€9.000000,371.220000 kg,36.470000 L,1304 km
PRN,TXL,2019-08-29,€9.000000,371.220000 kg,36.470000 L,1304 km
TXL,GRZ,2019-09-13,€5.000000,161.000000 kg,18.480000 L,687 km
GRZ,MHG,2019-09-14,€5.000000,184.020000 kg,21.840000 L,635 km
MHG,TXL,2019-09-21,€5.000000,215.000000 kg,27.590000 L,528 km
TXL,OBF,2019-09-21,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-09-28,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,LCY,2019-09-28,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,TXL,2019-10-05,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,OBF,2019-10-05,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-10-17,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,AMS,2019-10-17,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,GOA,2019-10-18,€7.000000,289.260000 kg,29.830000 L,978 km
GOA,SXF,2019-10-19,€7.000000,299.350000 kg,30.650000 L,1013 km
SXF,TXL,2019-10-25,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,MAN,2019-10-25,€8.000000,319.570000 kg,32.280000 L,1095 km
MAN,ORK,2019-10-26,€5.000000,48.000000 kg,12.150000 L,501 km
ORK,TXL,2019-11-02,€10.000000,427.620000 kg,41.030000 L,1532 km
TXL,LIN,2019-11-02,€7.000000,262.650000 kg,27.700000 L,894 km
LIN,TXL,2019-11-15,€7.000000,262.650000 kg,27.700000 L,894 km
TXL,OBF,2019-11-15,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,BRU,2019-11-16,€5.000000,183.300000 kg,21.790000 L,632 km
BRU,TXL,2019-11-22,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,YVR,2019-11-22,€58.000000,2503.340000 kg,216.010000 L,8039 km
YVR,LGA,2019-11-29,€24.000000,1009.230000 kg,89.300000 L,3971 km
LGA,MEX,2019-11-30,€21.000000,879.500000 kg,78.470000 L,3422 km
MEX,OBF,2019-12-07,€75.000000,3232.980000 kg,277.780000 L,9888 km
OBF,TXL,2019-12-20,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,GVA,2019-12-20,€7.000000,272.420000 kg,28.480000 L,925 km
GVA,TXL,2019-12-31,€7.000000,272.420000 kg,28.480000 L,925 km
