DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BHM,YTZ,2019-01-11,€9.000000,379.730000 kg,37.150000 L,1338 km
YTZ,ATL,2019-01-12,€9.000000,356.220000 kg,35.250000 L,1243 km
ATL,BHM,2019-02-15,€5.000000,54.000000 kg,13.670000 L,266 km
BHM,CLO,2019-02-15,€22.000000,916.000000 kg,81.520000 L,3577 km
CLO,LIM,2019-02-16,€12.000000,484.690000 kg,45.650000 L,1763 km
LIM,LHR,2019-02-23,€78.000000,3382.530000 kg,290.460000 L,10211 km
LHR,BHM,2019-03-08,€48.000000,2084.490000 kg,180.540000 L,6976 km
BHM,BRS,2019-03-08,€47.000000,2032.540000 kg,176.130000 L,6831 km
BRS,BHM,2019-03-22,€47.000000,2032.540000 kg,176.130000 L,6831 km
BHM,DAL,2019-03-22,€7.000000,294.000000 kg,30.220000 L,993 km
DAL,LGA,2019-03-23,€14.000000,607.160000 kg,55.730000 L,2271 km
LGA,LHR,2019-03-27,€37.000000,1587.960000 kg,138.400000 L,5593 km
LHR,BHM,2019-04-19,€48.000000,2084.490000 kg,180.540000 L,6976 km
BHM,KNF,2019-04-19,€49.000000,2090.040000 kg,181.010000 L,6991 km
KNF,BHM,2019-04-27,€49.000000,2090.040000 kg,181.010000 L,6991 km
BHM,LHR,2019-04-27,€48.000000,2084.490000 kg,180.540000 L,6976 km
LHR,BHM,2019-04-30,€48.000000,2084.490000 kg,180.540000 L,6976 km
BHM,MAD,2019-04-30,€51.000000,2173.960000 kg,188.110000 L,7205 km
MAD,BHM,2019-05-04,€51.000000,2173.960000 kg,188.110000 L,7205 km
BHM,IBZ,2019-05-04,€55.000000,2354.350000 kg,203.390000 L,7662 km
IBZ,BHM,2019-05-11,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,AMS,2019-05-11,€51.000000,2202.210000 kg,190.510000 L,7276 km
AMS,BHM,2019-05-25,€51.000000,2202.210000 kg,190.510000 L,7276 km
BHM,BHX,2019-05-25,€47.000000,2041.560000 kg,176.900000 L,6856 km
BHX,BHM,2019-06-07,€47.000000,2041.560000 kg,176.900000 L,6856 km
BHM,LGA,2019-06-07,€11.000000,459.000000 kg,44.300000 L,1442 km
LGA,YTZ,2019-06-08,€5.000000,175.710000 kg,21.290000 L,606 km
YTZ,IBZ,2019-06-13,€45.000000,1932.980000 kg,167.680000 L,6554 km
IBZ,BCN,2019-06-14,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,BHM,2019-06-29,€54.000000,2329.390000 kg,201.280000 L,7598 km
BHM,IBZ,2019-06-29,€55.000000,2354.350000 kg,203.390000 L,7662 km
IBZ,BHM,2019-07-04,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,IBZ,2019-07-04,€55.000000,2354.350000 kg,203.390000 L,7662 km
IBZ,BHM,2019-07-07,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,IBZ,2019-07-07,€55.000000,2354.350000 kg,203.390000 L,7662 km
IBZ,BHM,2019-07-13,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,MAN,2019-07-13,€47.000000,2018.510000 kg,174.940000 L,6792 km
MAN,IBZ,2019-07-14,€11.000000,465.380000 kg,44.090000 L,1685 km
IBZ,BHM,2019-07-20,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,MME,2019-07-20,€47.000000,2025.100000 kg,175.500000 L,6810 km
MME,IBZ,2019-07-21,€12.000000,496.300000 kg,46.590000 L,1810 km
IBZ,BHM,2019-07-26,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,PMI,2019-07-26,€55.000000,2383.010000 kg,205.820000 L,7734 km
PMI,BQH,2019-07-27,€10.000000,394.220000 kg,38.330000 L,1397 km
BQH,IBZ,2019-07-28,€10.000000,410.010000 kg,39.610000 L,1461 km
IBZ,BHM,2019-08-03,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,LHR,2019-08-03,€48.000000,2084.490000 kg,180.540000 L,6976 km
LHR,IBZ,2019-08-04,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,BHM,2019-08-07,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,LEI,2019-08-07,€53.000000,2274.670000 kg,196.640000 L,7460 km
LEI,BHM,2019-08-10,€53.000000,2274.670000 kg,196.640000 L,7460 km
BHM,ZRH,2019-08-10,€55.000000,2389.980000 kg,206.410000 L,7752 km
ZRH,IBZ,2019-08-11,€6.000000,248.000000 kg,24.810000 L,1165 km
IBZ,REG,2019-08-13,€9.000000,369.680000 kg,36.340000 L,1298 km
REG,IBZ,2019-08-15,€9.000000,369.680000 kg,36.340000 L,1298 km
IBZ,BHM,2019-08-18,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,IBZ,2019-08-18,€55.000000,2354.350000 kg,203.390000 L,7662 km
IBZ,BHM,2019-08-24,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,IBZ,2019-08-24,€55.000000,2354.350000 kg,203.390000 L,7662 km
IBZ,BHM,2019-08-31,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,IBZ,2019-08-31,€55.000000,2354.350000 kg,203.390000 L,7662 km
IBZ,BHM,2019-09-14,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,IBZ,2019-09-14,€55.000000,2354.350000 kg,203.390000 L,7662 km
IBZ,BHM,2019-09-18,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,IBZ,2019-09-18,€55.000000,2354.350000 kg,203.390000 L,7662 km
IBZ,BHM,2019-09-21,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,IBZ,2019-09-21,€55.000000,2354.350000 kg,203.390000 L,7662 km
IBZ,BHM,2019-09-27,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,DXB,2019-09-27,€104.000000,4480.130000 kg,383.490000 L,12409 km
DXB,IBZ,2019-09-28,€34.000000,1477.030000 kg,128.990000 L,5284 km
IBZ,BHM,2019-10-06,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,IBZ,2019-10-06,€55.000000,2354.350000 kg,203.390000 L,7662 km
IBZ,BHM,2019-10-12,€55.000000,2354.350000 kg,203.390000 L,7662 km
BHM,FRA,2019-10-12,€54.000000,2338.900000 kg,202.080000 L,7623 km
FRA,BHM,2019-10-19,€54.000000,2338.900000 kg,202.080000 L,7623 km
BHM,LHR,2019-10-19,€48.000000,2084.490000 kg,180.540000 L,6976 km
LHR,BHM,2019-11-01,€48.000000,2084.490000 kg,180.540000 L,6976 km
BHM,MAD,2019-11-01,€51.000000,2173.960000 kg,188.110000 L,7205 km
MAD,LHR,2019-11-03,€7.000000,300.000000 kg,29.360000 L,1292 km
LHR,BHM,2019-11-16,€48.000000,2084.490000 kg,180.540000 L,6976 km
BHM,OPO,2019-11-16,€47.000000,2012.920000 kg,174.470000 L,6776 km
OPO,BHM,2019-11-30,€47.000000,2012.920000 kg,174.470000 L,6776 km
BHM,EMA,2019-11-30,€48.000000,2046.620000 kg,177.320000 L,6870 km
EMA,BHM,2019-12-08,€48.000000,2046.620000 kg,177.320000 L,6870 km
BHM,BIF,2019-12-08,€10.000000,433.440000 kg,41.500000 L,1556 km
BIF,LBA,2019-12-20,€47.000000,2040.600000 kg,176.810000 L,6854 km
LBA,LPL,2019-12-21,€5.000000,30.580000 kg,7.740000 L,149 km
LPL,BHM,2019-12-29,€47.000000,2005.060000 kg,173.800000 L,6755 km
BHM,MAN,2019-12-29,€47.000000,2018.510000 kg,174.940000 L,6792 km
MAN,BHM,2019-12-31,€47.000000,2018.510000 kg,174.940000 L,6792 km
