DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
XFW,ZRH,2019-02-08,€5.000000,211.740000 kg,23.690000 L,731 km
ZRH,LBG,2019-02-09,€5.000000,154.460000 kg,19.870000 L,532 km
LBG,XFW,2019-02-16,€6.000000,224.260000 kg,24.630000 L,772 km
MLH,TXL,2019-02-23,€5.000000,212.410000 kg,23.740000 L,734 km
TXL,XFW,2019-03-02,€5.000000,65.550000 kg,14.250000 L,302 km
XFW,HAM,2019-03-02,€5.000000,13.280000 kg,3.360000 L,65 km
HAM,XFW,2019-03-15,€5.000000,13.280000 kg,3.360000 L,65 km
XFW,DTM,2019-03-15,€5.000000,71.800000 kg,14.820000 L,325 km
DTM,XFW,2019-04-09,€5.000000,71.800000 kg,14.820000 L,325 km
XFW,CGN,2019-04-09,€5.000000,101.950000 kg,16.660000 L,398 km
CGN,HAM,2019-04-10,€5.000000,101.000000 kg,15.690000 L,412 km
HAM,XFW,2019-04-19,€5.000000,13.280000 kg,3.360000 L,65 km
XFW,BOM,2019-04-19,€45.000000,1948.040000 kg,168.960000 L,6596 km
BOM,DEL,2019-04-20,€6.000000,256.000000 kg,25.560000 L,1186 km
DEL,BLR,2019-04-21,€9.000000,371.000000 kg,34.930000 L,1770 km
BLR,TXL,2019-05-01,€50.000000,2171.250000 kg,187.890000 L,7198 km
TXL,GDL,2019-05-03,€75.000000,3240.590000 kg,278.430000 L,9907 km
GDL,LCY,2019-05-11,€68.000000,2947.300000 kg,253.600000 L,9164 km
LCY,XFW,2019-05-17,€5.000000,216.870000 kg,24.040000 L,749 km
XFW,TRN,2019-05-17,€7.000000,297.440000 kg,30.490000 L,1005 km
TRN,XFW,2019-06-01,€7.000000,297.440000 kg,30.490000 L,1005 km
XFW,AMS,2019-06-01,€5.000000,109.560000 kg,17.120000 L,416 km
AMS,XFW,2019-06-07,€5.000000,109.560000 kg,17.120000 L,416 km
XFW,CGH,2019-06-07,€78.000000,3380.980000 kg,290.330000 L,10208 km
CGH,FLN,2019-06-08,€5.000000,113.000000 kg,14.430000 L,538 km
FLN,XFW,2019-06-27,€84.000000,3622.690000 kg,310.810000 L,10692 km
XFW,SDV,2019-06-27,€19.000000,815.030000 kg,73.090000 L,3150 km
SDV,AOC,2019-07-04,€18.000000,739.510000 kg,66.780000 L,2830 km
AOC,XFW,2019-07-11,€5.000000,95.790000 kg,16.290000 L,383 km
XFW,KUL,2019-07-11,€75.000000,3242.050000 kg,278.550000 L,9911 km
KUL,QPG,2019-07-12,€5.000000,87.460000 kg,15.790000 L,364 km
QPG,HLP,2019-07-13,€7.000000,283.540000 kg,29.370000 L,960 km
HLP,IBZ,2019-07-18,€97.000000,4201.460000 kg,359.870000 L,11851 km
ORY,XFW,2019-08-02,€6.000000,231.820000 kg,25.230000 L,796 km
XFW,PRG,2019-08-02,€5.000000,158.290000 kg,20.120000 L,546 km
PRG,IBZ,2019-08-04,€11.000000,461.090000 kg,43.740000 L,1668 km
IBZ,XFW,2019-08-10,€12.000000,494.840000 kg,46.470000 L,1805 km
XFW,HAM,2019-08-10,€5.000000,13.280000 kg,3.360000 L,65 km
HAM,XFW,2019-08-24,€5.000000,13.280000 kg,3.360000 L,65 km
XFW,TXL,2019-08-24,€5.000000,65.550000 kg,14.250000 L,302 km
TXL,XFW,2019-09-07,€5.000000,65.550000 kg,14.250000 L,302 km
XFW,VIE,2019-09-07,€6.000000,230.910000 kg,25.160000 L,794 km
VIE,XFW,2019-09-20,€6.000000,230.910000 kg,25.160000 L,794 km
XFW,LCY,2019-09-20,€5.000000,216.870000 kg,24.040000 L,749 km
LCY,XFW,2019-10-02,€5.000000,216.870000 kg,24.040000 L,749 km
XFW,HAJ,2019-10-02,€5.000000,34.530000 kg,8.740000 L,169 km
HAJ,IST,2019-10-04,€11.000000,473.000000 kg,43.790000 L,1975 km
IST,BUD,2019-10-05,€7.000000,288.000000 kg,29.110000 L,1094 km
BUD,XFW,2019-10-24,€7.000000,294.940000 kg,30.290000 L,996 km
XFW,YHU,2019-10-24,€39.000000,1669.490000 kg,145.320000 L,5820 km
YHU,TNT,2019-10-25,€43.000000,1850.420000 kg,160.680000 L,6324 km
TNT,LGA,2019-10-26,€45.000000,1953.210000 kg,169.400000 L,6610 km
LGA,CGN,2019-10-31,€41.000000,1774.820000 kg,154.260000 L,6113 km
CGN,XFW,2019-11-08,€5.000000,101.950000 kg,16.660000 L,398 km
XFW,ZRH,2019-11-08,€5.000000,211.740000 kg,23.690000 L,731 km
ZRH,TXL,2019-11-09,€5.000000,177.000000 kg,20.000000 L,710 km
TXL,XFW,2019-11-30,€5.000000,65.550000 kg,14.250000 L,302 km
XFW,POZ,2019-11-30,€5.000000,154.400000 kg,19.860000 L,532 km
POZ,XFW,2019-12-06,€5.000000,154.400000 kg,19.860000 L,532 km
XFW,CPT,2019-12-06,€74.000000,3205.170000 kg,275.430000 L,9818 km
CPT,ORK,2019-12-14,€75.000000,3256.900000 kg,279.810000 L,9949 km
ORK,XFW,2019-12-29,€9.000000,369.880000 kg,36.360000 L,1299 km
