DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,STR,2019-02-02,€5.000000,159.000000 kg,19.740000 L,565 km
STR,HAM,2019-02-03,€5.000000,162.000000 kg,19.490000 L,600 km
HAM,TXL,2019-02-20,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-03-30,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,TXL,2019-04-05,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,SXF,2019-04-05,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-04-20,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,ORK,2019-04-20,€10.000000,427.620000 kg,41.030000 L,1532 km
ORK,TXL,2019-04-27,€10.000000,427.620000 kg,41.030000 L,1532 km
TXL,LEJ,2019-05-17,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,TXL,2019-05-31,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,SXF,2019-05-31,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,FMO,2019-06-01,€5.000000,126.500000 kg,18.130000 L,456 km
FMO,HAM,2019-06-02,€5.000000,63.630000 kg,14.070000 L,295 km
HAM,TXL,2019-06-22,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,LED,2019-06-29,€8.000000,316.000000 kg,30.880000 L,1366 km
LED,TXL,2019-07-05,€8.000000,316.000000 kg,30.880000 L,1366 km
TXL,GLO,2019-07-05,€8.000000,321.950000 kg,32.480000 L,1105 km
GLO,TXL,2019-07-27,€8.000000,321.950000 kg,32.480000 L,1105 km
TXL,ERF,2019-07-27,€5.000000,61.590000 kg,13.880000 L,288 km
ERF,TXL,2019-08-03,€5.000000,61.590000 kg,13.880000 L,288 km
TXL,NUE,2019-08-03,€5.000000,96.000000 kg,14.430000 L,423 km
NUE,TXL,2019-08-09,€5.000000,96.000000 kg,14.430000 L,423 km
TXL,HAM,2019-09-01,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,SPU,2019-09-02,€9.000000,361.610000 kg,35.690000 L,1265 km
SPU,TXL,2019-09-28,€8.000000,315.720000 kg,31.970000 L,1079 km
TXL,CDG,2019-10-19,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,TXL,2019-10-26,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,SXF,2019-11-01,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-12-20,€5.000000,13.420000 kg,3.390000 L,65 km
