DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
STN,LHR,2019-01-18,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-02-01,€5.000000,23.680000 kg,5.990000 L,116 km
STN,MAN,2019-02-01,€5.000000,60.600000 kg,13.790000 L,284 km
MAN,STN,2019-02-09,€5.000000,60.600000 kg,13.790000 L,284 km
STN,LHR,2019-02-09,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-02-15,€5.000000,23.680000 kg,5.990000 L,116 km
STN,LHR,2019-02-15,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,CPH,2019-02-16,€7.000000,268.000000 kg,27.340000 L,1028 km
CPH,STN,2019-02-22,€7.000000,284.990000 kg,29.490000 L,965 km
STN,ESH,2019-02-22,€5.000000,35.140000 kg,8.890000 L,172 km
ESH,STN,2019-03-14,€5.000000,35.140000 kg,8.890000 L,172 km
STN,LFW,2019-03-14,€33.000000,1425.330000 kg,124.600000 L,5140 km
LFW,STN,2019-03-29,€33.000000,1425.330000 kg,124.600000 L,5140 km
STN,LHR,2019-03-29,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-04-05,€5.000000,23.680000 kg,5.990000 L,116 km
STN,LHR,2019-04-05,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-05-03,€5.000000,23.680000 kg,5.990000 L,116 km
STN,LHR,2019-05-03,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-05-17,€5.000000,23.680000 kg,5.990000 L,116 km
STN,LHR,2019-05-17,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-05-26,€5.000000,23.680000 kg,5.990000 L,116 km
STN,LHR,2019-05-26,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-06-15,€5.000000,23.680000 kg,5.990000 L,116 km
YEO,STN,2019-07-19,€5.000000,56.780000 kg,13.440000 L,271 km
LHR,STN,2019-08-09,€5.000000,23.680000 kg,5.990000 L,116 km
STN,GLA,2019-08-09,€5.000000,169.030000 kg,20.840000 L,583 km
GLA,STN,2019-08-15,€5.000000,169.030000 kg,20.840000 L,583 km
STN,CBG,2019-08-15,€5.000000,17.420000 kg,4.410000 L,85 km
CBG,TXL,2019-08-16,€7.000000,277.340000 kg,28.880000 L,940 km
TXL,STN,2019-08-23,€7.000000,278.000000 kg,28.930000 L,943 km
STN,LHR,2019-08-23,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-09-04,€5.000000,23.680000 kg,5.990000 L,116 km
STN,PUY,2019-09-04,€9.000000,375.910000 kg,36.840000 L,1323 km
PUY,STN,2019-09-24,€9.000000,375.910000 kg,36.840000 L,1323 km
STN,ESH,2019-09-24,€5.000000,35.140000 kg,8.890000 L,172 km
ESH,STN,2019-10-04,€5.000000,35.140000 kg,8.890000 L,172 km
STN,LIS,2019-10-04,€11.000000,464.150000 kg,43.990000 L,1680 km
LIS,STN,2019-10-12,€11.000000,464.150000 kg,43.990000 L,1680 km
STN,LHR,2019-10-12,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-10-31,€5.000000,23.680000 kg,5.990000 L,116 km
STN,CDG,2019-10-31,€5.000000,106.390000 kg,16.930000 L,408 km
CDG,LHR,2019-11-01,€5.000000,87.000000 kg,13.920000 L,396 km
LHR,STN,2019-11-22,€5.000000,23.680000 kg,5.990000 L,116 km
STN,LHR,2019-11-22,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-12-20,€5.000000,23.680000 kg,5.990000 L,116 km
STN,LHR,2019-12-20,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-12-21,€5.000000,23.680000 kg,5.990000 L,116 km
