DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ELS,MEX,2019-04-25,€129.000000,5590.880000 kg,477.640000 L,14633 km
MEX,ELS,2019-05-12,€129.000000,5590.880000 kg,477.640000 L,14633 km
ELS,MEX,2019-05-12,€129.000000,5590.880000 kg,477.640000 L,14633 km
MEX,HHR,2019-05-15,€16.000000,672.180000 kg,61.160000 L,2546 km
HHR,BUR,2019-05-16,€5.000000,16.630000 kg,4.210000 L,81 km
BUR,SFO,2019-05-17,€5.000000,182.000000 kg,22.270000 L,575 km
SFO,LCY,2019-05-24,€64.000000,2763.150000 kg,238.000000 L,8698 km
LCY,ELS,2019-06-26,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,YEO,2019-06-26,€75.000000,3227.140000 kg,277.290000 L,9873 km
YEO,ELS,2019-07-11,€75.000000,3227.140000 kg,277.290000 L,9873 km
ELS,BCN,2019-07-11,€64.000000,2778.610000 kg,239.310000 L,8737 km
BCN,MAD,2019-07-12,€5.000000,126.000000 kg,16.200000 L,531 km
MAD,ELS,2019-07-26,€65.000000,2821.930000 kg,242.980000 L,8846 km
ELS,MMJ,2019-07-26,€120.000000,5188.980000 kg,443.570000 L,13828 km
MMJ,YHU,2019-08-02,€80.000000,3468.170000 kg,297.720000 L,10382 km
YHU,ANR,2019-08-09,€37.000000,1595.530000 kg,139.050000 L,5614 km
ANR,ELS,2019-08-22,€73.000000,3159.590000 kg,271.570000 L,9702 km
