DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
YIP,LHR,2019-01-25,€41.000000,1770.180000 kg,153.870000 L,6100 km
LHR,VIY,2019-01-26,€5.000000,104.630000 kg,16.820000 L,404 km
VIY,YIP,2019-02-22,€44.000000,1879.350000 kg,163.130000 L,6404 km
YIP,MXP,2019-02-22,€49.000000,2096.630000 kg,181.570000 L,7009 km
MXP,NAP,2019-02-23,€5.000000,206.000000 kg,23.030000 L,742 km
NAP,YIP,2019-03-15,€55.000000,2362.600000 kg,204.090000 L,7683 km
YIP,LYN,2019-03-15,€47.000000,2004.910000 kg,173.780000 L,6754 km
LYN,BRU,2019-03-16,€5.000000,181.530000 kg,21.680000 L,626 km
BRU,YIP,2019-04-06,€44.000000,1890.820000 kg,164.100000 L,6436 km
YIP,TAR,2019-04-06,€57.000000,2450.210000 kg,211.510000 L,7905 km
TAR,SFO,2019-04-17,€81.000000,3510.790000 kg,301.330000 L,10468 km
SFO,BFI,2019-04-19,€8.000000,334.030000 kg,33.450000 L,1153 km
BFI,PDX,2019-04-20,€5.000000,56.030000 kg,13.370000 L,268 km
PDX,YIP,2019-05-04,€19.000000,823.260000 kg,73.770000 L,3185 km
YIP,CIA,2019-05-04,€53.000000,2284.340000 kg,197.460000 L,7484 km
CIA,AMS,2019-05-05,€9.000000,381.960000 kg,37.330000 L,1348 km
AMS,HND,2019-05-10,€70.000000,3030.380000 kg,260.630000 L,9375 km
HND,OIM,2019-05-11,€5.000000,23.000000 kg,5.820000 L,143 km
OIM,YIP,2019-06-01,€81.000000,3511.910000 kg,301.420000 L,10470 km
YIP,ARN,2019-06-01,€46.000000,1977.520000 kg,171.460000 L,6678 km
ARN,CFU,2019-06-12,€15.000000,608.830000 kg,55.870000 L,2278 km
CFU,FLR,2019-06-15,€7.000000,261.920000 kg,27.640000 L,892 km
FLR,YIP,2019-07-05,€51.000000,2205.710000 kg,190.800000 L,7285 km
YIP,YTZ,2019-07-05,€5.000000,106.560000 kg,16.940000 L,409 km
YTZ,LGA,2019-07-07,€5.000000,175.710000 kg,21.290000 L,606 km
LGA,YIP,2019-07-20,€6.000000,251.720000 kg,26.830000 L,859 km
YIP,BCN,2019-07-20,€47.000000,2028.210000 kg,175.760000 L,6819 km
BCN,SIN,2019-07-26,€87.000000,3753.440000 kg,321.900000 L,10954 km
YIP,HEM,2019-08-10,€48.000000,2080.430000 kg,180.190000 L,6964 km
HEM,CBG,2019-08-15,€12.000000,497.420000 kg,46.680000 L,1815 km
CBG,LHR,2019-08-25,€5.000000,29.010000 kg,7.340000 L,142 km
LHR,LIS,2019-09-06,€9.000000,389.000000 kg,36.960000 L,1614 km
LIS,GLA,2019-09-07,€13.000000,540.430000 kg,50.160000 L,1989 km
GLA,RAK,2019-09-13,€17.000000,724.530000 kg,65.530000 L,2767 km
RAK,TRN,2019-09-14,€13.000000,559.910000 kg,51.780000 L,2071 km
TRN,YHU,2019-09-21,€42.000000,1791.160000 kg,155.650000 L,6159 km
YHU,YIP,2019-10-08,€6.000000,254.570000 kg,27.060000 L,868 km
YIP,CDG,2019-10-08,€44.000000,1883.170000 kg,163.450000 L,6415 km
CDG,TXL,2019-10-10,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,LGA,2019-10-25,€44.000000,1885.170000 kg,163.630000 L,6421 km
LGA,YIP,2019-12-14,€6.000000,251.720000 kg,26.830000 L,859 km
