DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SUX,YTZ,2019-01-05,€10.000000,403.860000 kg,39.110000 L,1436 km
YTZ,SUX,2019-01-19,€10.000000,403.860000 kg,39.110000 L,1436 km
SUX,LGA,2019-01-19,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-01-25,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,LGA,2019-01-25,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-02-14,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,LGA,2019-02-14,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-02-22,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,LGA,2019-02-22,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-03-01,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,LGA,2019-03-01,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-03-09,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,AUS,2019-03-09,€10.000000,395.320000 kg,38.420000 L,1402 km
AUS,SUX,2019-03-16,€10.000000,395.320000 kg,38.420000 L,1402 km
SUX,LGA,2019-03-16,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-03-22,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,LGA,2019-03-22,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-03-28,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,LGA,2019-03-28,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-04-18,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,SYD,2019-04-18,€100.000000,4306.060000 kg,368.740000 L,12060 km
SYD,MEL,2019-04-27,€106.000000,4602.000000 kg,394.170000 L,12102 km
MEL,WLG,2019-05-03,€112.000000,4837.000000 kg,414.430000 L,11694 km
WLG,LGA,2019-05-11,€126.000000,5440.590000 kg,464.900000 L,14332 km
LGA,SUX,2019-05-17,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,LGA,2019-05-17,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-05-24,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,LGA,2019-05-24,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,YQG,2019-05-25,€6.000000,241.100000 kg,25.970000 L,826 km
YQG,SUX,2019-05-31,€8.000000,333.800000 kg,33.440000 L,1153 km
SUX,LYN,2019-05-31,€54.000000,2318.600000 kg,200.360000 L,7571 km
LYN,AMS,2019-06-01,€6.000000,227.540000 kg,24.890000 L,783 km
AMS,NHT,2019-06-07,€5.000000,108.860000 kg,17.070000 L,414 km
NHT,EIN,2019-06-08,€5.000000,123.690000 kg,17.960000 L,449 km
EIN,DTM,2019-06-09,€5.000000,39.700000 kg,10.050000 L,194 km
DTM,OTP,2019-06-13,€11.000000,452.820000 kg,43.070000 L,1634 km
OTP,SUX,2019-07-06,€65.000000,2823.360000 kg,243.100000 L,8850 km
SUX,LGA,2019-07-06,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-07-12,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,MSN,2019-07-12,€5.000000,182.940000 kg,21.770000 L,631 km
MSN,SUX,2019-07-26,€5.000000,182.940000 kg,21.770000 L,631 km
SUX,LGA,2019-07-26,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-08-09,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,LHR,2019-08-09,€48.000000,2048.310000 kg,177.470000 L,6875 km
LHR,LGA,2019-08-10,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,SUX,2019-08-14,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,LGA,2019-08-14,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-08-17,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,TXL,2019-08-17,€54.000000,2311.460000 kg,199.760000 L,7553 km
TXL,LHR,2019-08-23,€7.000000,263.000000 kg,27.080000 L,995 km
SUX,GVA,2019-09-21,€54.000000,2332.830000 kg,201.570000 L,7607 km
GVA,YHU,2019-09-27,€40.000000,1729.440000 kg,150.410000 L,5987 km
YHU,LGA,2019-09-28,€5.000000,179.030000 kg,21.510000 L,618 km
LGA,SUX,2019-10-11,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,MAN,2019-10-11,€46.000000,1971.070000 kg,170.910000 L,6660 km
MAN,LHR,2019-10-12,€5.000000,49.000000 kg,12.400000 L,291 km
LHR,FLR,2019-10-17,€9.000000,362.610000 kg,35.770000 L,1269 km
FLR,AMS,2019-10-18,€8.000000,323.300000 kg,32.580000 L,1110 km
AMS,HEM,2019-10-19,€11.000000,437.480000 kg,41.830000 L,1572 km
HEM,LGA,2019-11-02,€46.000000,1972.720000 kg,171.050000 L,6664 km
LGA,SUX,2019-11-15,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,DEL,2019-11-15,€101.000000,4355.500000 kg,372.930000 L,12159 km
DEL,SSN,2019-11-22,€30.000000,1286.850000 kg,112.850000 L,4754 km
SSN,HND,2019-11-23,€9.000000,348.350000 kg,34.610000 L,1211 km
HND,NGO,2019-11-30,€5.000000,67.710000 kg,14.440000 L,310 km
NGO,LGA,2019-12-05,€88.000000,3805.640000 kg,326.320000 L,11058 km
LGA,SUX,2019-12-21,€13.000000,525.260000 kg,48.940000 L,1928 km
SUX,LGA,2019-12-21,€13.000000,525.260000 kg,48.940000 L,1928 km
LGA,SUX,2019-12-31,€13.000000,525.260000 kg,48.940000 L,1928 km
