DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LJU,CIA,2019-01-26,€5.000000,161.400000 kg,20.330000 L,556 km
CIA,LJU,2019-02-09,€5.000000,161.400000 kg,20.330000 L,556 km
LJU,CLO,2019-02-09,€75.000000,3228.280000 kg,277.390000 L,9876 km
CLO,SCL,2019-02-22,€26.000000,1089.400000 kg,96.100000 L,4204 km
SCL,LJU,2019-03-30,€103.000000,4449.350000 kg,380.880000 L,12347 km
LJU,CIA,2019-03-30,€5.000000,161.400000 kg,20.330000 L,556 km
CIA,LJU,2019-04-19,€5.000000,161.400000 kg,20.330000 L,556 km
LJU,LHR,2019-04-19,€9.000000,370.220000 kg,36.380000 L,1300 km
LHR,RMI,2019-04-21,€9.000000,377.270000 kg,36.950000 L,1329 km
RMI,LJU,2019-04-25,€5.000000,70.790000 kg,14.730000 L,321 km
LJU,CND,2019-04-25,€8.000000,339.250000 kg,33.880000 L,1175 km
CND,LJU,2019-05-11,€8.000000,339.250000 kg,33.880000 L,1175 km
LJU,TXL,2019-05-11,€6.000000,226.720000 kg,24.820000 L,780 km
TXL,LJU,2019-05-25,€6.000000,226.720000 kg,24.820000 L,780 km
LJU,CIA,2019-05-25,€5.000000,161.400000 kg,20.330000 L,556 km
CIA,FLR,2019-05-26,€5.000000,61.390000 kg,13.860000 L,287 km
FLR,LJU,2019-05-30,€5.000000,107.720000 kg,17.010000 L,411 km
LJU,BRN,2019-05-30,€5.000000,172.710000 kg,21.090000 L,596 km
BRN,LHR,2019-06-01,€6.000000,238.780000 kg,25.790000 L,818 km
LHR,LJU,2019-06-28,€9.000000,370.220000 kg,36.380000 L,1300 km
LJU,LHR,2019-06-28,€9.000000,370.220000 kg,36.380000 L,1300 km
LHR,LGA,2019-06-29,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,LJU,2019-08-16,€47.000000,2035.490000 kg,176.380000 L,6839 km
LJU,TXL,2019-08-16,€6.000000,226.720000 kg,24.820000 L,780 km
TXL,ZAD,2019-08-18,€7.000000,297.200000 kg,30.470000 L,1004 km
ZAD,LJU,2019-08-22,€5.000000,58.460000 kg,13.590000 L,277 km
LJU,SUI,2019-08-22,€14.000000,586.220000 kg,53.980000 L,2182 km
SUI,BCN,2019-08-30,€20.000000,838.790000 kg,75.070000 L,3250 km
BCN,LJU,2019-09-14,€8.000000,319.000000 kg,31.640000 L,1183 km
LJU,MAN,2019-09-14,€10.000000,419.000000 kg,40.250000 L,1482 km
MAN,LJU,2019-10-05,€10.000000,419.000000 kg,40.250000 L,1482 km
LJU,CIA,2019-10-05,€5.000000,161.400000 kg,20.330000 L,556 km
CIA,LJU,2019-10-19,€5.000000,161.400000 kg,20.330000 L,556 km
LJU,FLR,2019-10-19,€5.000000,107.720000 kg,17.010000 L,411 km
FLR,LJU,2019-11-09,€5.000000,107.720000 kg,17.010000 L,411 km
LJU,BRU,2019-11-09,€7.000000,281.000000 kg,29.360000 L,946 km
BRU,LJU,2019-11-15,€7.000000,281.000000 kg,29.360000 L,946 km
LJU,ZAG,2019-11-15,€5.000000,35.730000 kg,9.040000 L,175 km
ZAG,LJU,2019-12-07,€5.000000,35.730000 kg,9.040000 L,175 km
LJU,ZRH,2019-12-07,€5.000000,152.000000 kg,19.490000 L,520 km
ZRH,LJU,2019-12-24,€5.000000,152.000000 kg,19.490000 L,520 km
