DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LIS,GLA,2019-03-16,€13.000000,540.430000 kg,50.160000 L,1989 km
GLA,LCY,2019-03-17,€5.000000,198.000000 kg,23.540000 L,616 km
LCY,LIS,2019-03-29,€11.000000,454.010000 kg,43.170000 L,1639 km
LIS,LBA,2019-03-29,€12.000000,499.610000 kg,46.860000 L,1824 km
LBA,LIS,2019-04-12,€12.000000,499.610000 kg,46.860000 L,1824 km
LIS,BRS,2019-04-12,€10.000000,429.610000 kg,41.190000 L,1540 km
BRS,LIS,2019-04-18,€10.000000,429.610000 kg,41.190000 L,1540 km
LIS,BBU,2019-04-18,€19.000000,785.360000 kg,70.610000 L,3024 km
BBU,LIS,2019-04-26,€19.000000,785.360000 kg,70.610000 L,3024 km
LIS,ESH,2019-04-26,€10.000000,434.760000 kg,41.610000 L,1561 km
ESH,LCY,2019-04-27,€5.000000,26.490000 kg,6.700000 L,129 km
LCY,LIS,2019-05-25,€11.000000,454.010000 kg,43.170000 L,1639 km
LIS,AMS,2019-05-25,€12.000000,515.000000 kg,48.100000 L,1894 km
AMS,LIS,2019-06-13,€12.000000,515.000000 kg,48.100000 L,1894 km
LIS,LEJ,2019-06-14,€14.000000,599.070000 kg,55.060000 L,2237 km
LEJ,LIS,2019-06-26,€14.000000,599.070000 kg,55.060000 L,2237 km
LIS,SKU,2019-06-26,€18.000000,768.730000 kg,69.220000 L,2954 km
SKU,LIS,2019-07-13,€18.000000,768.730000 kg,69.220000 L,2954 km
LIS,LED,2019-07-13,€22.000000,934.000000 kg,83.020000 L,3653 km
LED,LIS,2019-07-18,€22.000000,934.000000 kg,83.020000 L,3653 km
LIS,BCN,2019-07-18,€7.000000,298.000000 kg,30.370000 L,1041 km
BCN,DUB,2019-07-20,€10.000000,428.720000 kg,41.120000 L,1537 km
DUB,LIS,2019-07-26,€11.000000,468.280000 kg,44.320000 L,1697 km
LIS,TXL,2019-07-26,€15.000000,627.560000 kg,57.430000 L,2357 km
LIS,ZAD,2019-08-22,€14.000000,583.070000 kg,53.720000 L,2169 km
ZAD,LIS,2019-08-28,€14.000000,583.070000 kg,53.720000 L,2169 km
LIS,TXL,2019-08-28,€15.000000,627.560000 kg,57.430000 L,2357 km
TXL,LBG,2019-08-31,€7.000000,268.020000 kg,28.130000 L,911 km
LBG,BCN,2019-09-01,€7.000000,265.650000 kg,27.940000 L,903 km
BCN,LIS,2019-09-12,€7.000000,298.000000 kg,30.370000 L,1041 km
MAN,KRK,2019-10-13,€11.000000,447.980000 kg,42.680000 L,1615 km
KRK,LIS,2019-10-17,€17.000000,700.430000 kg,63.520000 L,2665 km
LIS,AMS,2019-10-17,€12.000000,515.000000 kg,48.100000 L,1894 km
AMS,BCN,2019-10-19,€9.000000,381.000000 kg,37.460000 L,1291 km
BCN,LIS,2019-10-25,€7.000000,298.000000 kg,30.370000 L,1041 km
BNE,SYD,2019-11-01,€6.000000,227.000000 kg,24.550000 L,800 km
SYD,MEB,2019-11-02,€6.000000,218.980000 kg,24.200000 L,756 km
BRU,LIS,2019-11-23,€11.000000,457.000000 kg,43.030000 L,1767 km
LIS,KRK,2019-11-23,€17.000000,700.430000 kg,63.520000 L,2665 km
KRK,LIS,2019-12-06,€17.000000,700.430000 kg,63.520000 L,2665 km
LIS,BRU,2019-12-06,€11.000000,457.000000 kg,43.030000 L,1767 km
BRU,AMS,2019-12-07,€5.000000,49.000000 kg,12.400000 L,206 km
AMS,LIS,2019-12-13,€12.000000,515.000000 kg,48.100000 L,1894 km
LIS,JAI,2019-12-13,€56.000000,2420.440000 kg,208.980000 L,7829 km
JAI,BHD,2019-12-26,€50.000000,2150.210000 kg,186.100000 L,7144 km
BHD,LIS,2019-12-28,€12.000000,501.340000 kg,47.000000 L,1831 km
