DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LTQ,BRU,2019-02-16,€5.000000,52.810000 kg,13.070000 L,256 km
BRU,LTQ,2019-03-15,€5.000000,52.810000 kg,13.070000 L,256 km
LTQ,LCY,2019-03-15,€5.000000,41.910000 kg,10.610000 L,205 km
LCY,LTQ,2019-03-23,€5.000000,41.910000 kg,10.610000 L,205 km
LTQ,MST,2019-03-23,€5.000000,80.200000 kg,15.360000 L,347 km
MST,LTQ,2019-03-30,€5.000000,80.200000 kg,15.360000 L,347 km
LTQ,MAD,2019-03-30,€9.000000,355.010000 kg,35.150000 L,1238 km
MAD,LTQ,2019-04-06,€9.000000,355.010000 kg,35.150000 L,1238 km
LTQ,FLR,2019-04-06,€8.000000,318.270000 kg,32.180000 L,1090 km
FLR,LTQ,2019-04-12,€8.000000,318.270000 kg,32.180000 L,1090 km
LTQ,MXN,2019-04-12,€5.000000,143.500000 kg,19.140000 L,496 km
MXN,LTQ,2019-04-19,€5.000000,143.500000 kg,19.140000 L,496 km
LTQ,DIJ,2019-04-19,€5.000000,141.520000 kg,19.030000 L,491 km
DIJ,LTQ,2019-04-30,€5.000000,141.520000 kg,19.030000 L,491 km
LTQ,DTM,2019-04-30,€5.000000,134.160000 kg,18.590000 L,474 km
DTM,LTQ,2019-05-04,€5.000000,134.160000 kg,18.590000 L,474 km
LTQ,BRU,2019-05-04,€5.000000,52.810000 kg,13.070000 L,256 km
BRU,LTQ,2019-05-07,€5.000000,52.810000 kg,13.070000 L,256 km
LTQ,TLS,2019-05-07,€6.000000,238.590000 kg,25.770000 L,818 km
TLS,LTQ,2019-05-18,€6.000000,238.590000 kg,25.770000 L,818 km
LTQ,SSN,2019-05-18,€66.000000,2853.210000 kg,245.630000 L,8926 km
SSN,NTE,2019-05-24,€70.000000,3026.350000 kg,260.290000 L,9364 km
NTE,BCN,2019-05-25,€6.000000,234.000000 kg,25.820000 L,763 km
BCN,LTQ,2019-05-29,€8.000000,314.930000 kg,31.910000 L,1076 km
LTQ,TXL,2019-05-29,€7.000000,261.060000 kg,27.570000 L,889 km
TXL,LTQ,2019-06-02,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,LYN,2019-06-02,€5.000000,184.500000 kg,21.870000 L,637 km
LYN,LTQ,2019-07-07,€5.000000,184.500000 kg,21.870000 L,637 km
LTQ,TRN,2019-07-07,€6.000000,235.280000 kg,25.510000 L,807 km
TRN,LTQ,2019-07-11,€6.000000,235.280000 kg,25.510000 L,807 km
LTQ,PZY,2019-07-11,€9.000000,354.370000 kg,35.100000 L,1236 km
PZY,CRL,2019-07-13,€8.000000,305.020000 kg,31.100000 L,1036 km
CRL,LTQ,2019-09-06,€5.000000,50.970000 kg,12.900000 L,249 km
LTQ,ENC,2019-09-06,€5.000000,193.900000 kg,22.500000 L,669 km
ENC,VIY,2019-09-07,€5.000000,145.100000 kg,19.240000 L,500 km
VIY,LTQ,2019-09-29,€5.000000,50.640000 kg,12.820000 L,248 km
LTQ,MPL,2019-09-29,€6.000000,246.080000 kg,26.370000 L,842 km
MPL,LTQ,2019-12-21,€6.000000,246.080000 kg,26.370000 L,842 km
LTQ,LCY,2019-12-21,€5.000000,41.910000 kg,10.610000 L,205 km
LCY,LTQ,2019-12-31,€5.000000,41.910000 kg,10.610000 L,205 km
