DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
DUS,TXL,2019-01-01,€5.000000,134.000000 kg,17.210000 L,517 km
TXL,DUS,2019-01-18,€5.000000,134.000000 kg,17.210000 L,517 km
DUS,MHP,2019-01-18,€10.000000,422.230000 kg,40.600000 L,1511 km
MHP,LCY,2019-01-19,€13.000000,528.030000 kg,49.160000 L,1939 km
LCY,DUS,2019-02-01,€5.000000,73.000000 kg,18.480000 L,515 km
DUS,BRU,2019-02-01,€5.000000,43.660000 kg,11.050000 L,214 km
BRU,LIN,2019-02-02,€7.000000,282.000000 kg,31.390000 L,752 km
LIN,DUS,2019-02-09,€5.000000,210.020000 kg,23.580000 L,725 km
DUS,ANR,2019-02-09,€5.000000,42.740000 kg,10.820000 L,209 km
ANR,DUS,2019-02-15,€5.000000,42.740000 kg,10.820000 L,209 km
DUS,LBA,2019-02-15,€5.000000,198.670000 kg,22.820000 L,686 km
LBA,DUS,2019-02-23,€5.000000,198.670000 kg,22.820000 L,686 km
DUS,HEM,2019-02-23,€10.000000,434.610000 kg,41.600000 L,1561 km
HEM,DUS,2019-03-02,€10.000000,434.610000 kg,41.600000 L,1561 km
DUS,ZRH,2019-03-02,€5.000000,131.000000 kg,17.460000 L,494 km
ZRH,DUS,2019-03-15,€5.000000,131.000000 kg,17.460000 L,494 km
DUS,BIQ,2019-03-15,€8.000000,325.540000 kg,32.760000 L,1119 km
BIQ,BCN,2019-03-16,€5.000000,116.550000 kg,17.530000 L,432 km
BCN,DUS,2019-03-22,€8.000000,337.000000 kg,33.410000 L,1217 km
DUS,PRG,2019-03-22,€5.000000,168.000000 kg,20.250000 L,592 km
PRG,DUS,2019-03-29,€5.000000,168.000000 kg,20.250000 L,592 km
DUS,LBG,2019-03-29,€5.000000,124.140000 kg,17.990000 L,450 km
LBG,DUS,2019-04-05,€5.000000,124.140000 kg,17.990000 L,450 km
DUS,NTE,2019-05-07,€6.000000,236.290000 kg,25.590000 L,811 km
