DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LHR,IBZ,2019-01-01,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,LHR,2019-01-19,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,DUB,2019-01-19,€5.000000,128.000000 kg,16.960000 L,499 km
DUB,LHR,2019-01-25,€5.000000,128.000000 kg,16.960000 L,499 km
BRS,LHR,2019-02-01,€5.000000,42.240000 kg,10.690000 L,207 km
LHR,LBA,2019-02-01,€5.000000,72.550000 kg,14.890000 L,328 km
LBA,OBF,2019-02-02,€8.000000,335.330000 kg,33.560000 L,1159 km
OBF,LHR,2019-02-15,€7.000000,287.530000 kg,29.700000 L,973 km
LHR,MAN,2019-02-15,€5.000000,49.000000 kg,12.400000 L,291 km
MAN,LHR,2019-02-16,€5.000000,49.000000 kg,12.400000 L,291 km
LHR,BHX,2019-02-22,€5.000000,38.820000 kg,9.820000 L,190 km
BHX,LHR,2019-03-01,€5.000000,38.820000 kg,9.820000 L,190 km
LHR,GLA,2019-03-01,€5.000000,155.000000 kg,18.480000 L,604 km
GLA,LHR,2019-03-14,€5.000000,155.000000 kg,18.480000 L,604 km
LHR,DEL,2019-03-14,€48.000000,2053.000000 kg,177.970000 L,6777 km
DEL,BOM,2019-03-15,€6.000000,256.000000 kg,25.560000 L,1186 km
BOM,BLR,2019-03-16,€5.000000,194.000000 kg,20.500000 L,892 km
BLR,LPL,2019-03-30,€60.000000,2599.410000 kg,224.140000 L,8283 km
LPL,LHR,2019-04-05,€5.000000,68.570000 kg,14.520000 L,313 km
SXF,EMA,2019-04-20,€8.000000,308.290000 kg,31.370000 L,1049 km
EMA,LHR,2019-04-26,€5.000000,43.330000 kg,10.960000 L,212 km
LHR,HEM,2019-04-26,€12.000000,518.770000 kg,48.410000 L,1901 km
HEM,BGO,2019-04-27,€8.000000,330.700000 kg,33.180000 L,1140 km
BGO,BCN,2019-04-28,€14.000000,584.630000 kg,53.850000 L,2176 km
BCN,OBF,2019-04-30,€8.000000,320.090000 kg,32.320000 L,1097 km
OBF,LHR,2019-05-04,€7.000000,287.530000 kg,29.700000 L,973 km
LHR,GLA,2019-05-25,€5.000000,155.000000 kg,18.480000 L,604 km
GLA,LHR,2019-05-31,€5.000000,155.000000 kg,18.480000 L,604 km
LHR,MAN,2019-05-31,€5.000000,49.000000 kg,12.400000 L,291 km
MAN,LHR,2019-06-08,€5.000000,49.000000 kg,12.400000 L,291 km
LHR,MAN,2019-06-08,€5.000000,49.000000 kg,12.400000 L,291 km
MAN,LHR,2019-06-19,€5.000000,49.000000 kg,12.400000 L,291 km
LHR,EDI,2019-06-19,€5.000000,144.000000 kg,17.720000 L,583 km
EDI,LHR,2019-06-29,€5.000000,144.000000 kg,17.720000 L,583 km
LHR,TXL,2019-06-29,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,BRU,2019-06-30,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,LHR,2019-07-03,€5.000000,103.000000 kg,16.450000 L,399 km
LHR,ZAD,2019-07-03,€10.000000,415.820000 kg,40.080000 L,1485 km
ZAD,LHR,2019-07-13,€10.000000,415.820000 kg,40.080000 L,1485 km
LHR,SYD,2019-07-13,€41.000000,1767.000000 kg,154.170000 L,5564 km
IBZ,LHR,2019-07-26,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,NTE,2019-07-26,€5.000000,156.020000 kg,19.970000 L,538 km
NTE,LHR,2019-08-08,€5.000000,156.020000 kg,19.970000 L,538 km
LHR,KNF,2019-08-08,€5.000000,13.650000 kg,3.450000 L,66 km
KNF,LHR,2019-08-22,€5.000000,13.650000 kg,3.450000 L,66 km
LHR,WTN,2019-08-22,€5.000000,48.680000 kg,12.320000 L,238 km
WTN,LHR,2019-08-24,€5.000000,48.680000 kg,12.320000 L,238 km
LHR,BEB,2019-09-06,€6.000000,249.770000 kg,26.670000 L,853 km
BEB,LHR,2019-09-09,€6.000000,249.770000 kg,26.670000 L,853 km
LHR,IBZ,2019-09-09,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,LHR,2019-09-14,€10.000000,409.710000 kg,39.580000 L,1460 km
