DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LHR,YVR,2019-03-09,€55.000000,2382.000000 kg,205.820000 L,7625 km
YVR,AMS,2019-03-22,€52.000000,2237.000000 kg,193.410000 L,7754 km
AMS,TXL,2019-03-23,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,LHR,2019-03-24,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,EDI,2019-03-27,€5.000000,144.000000 kg,17.720000 L,583 km
EDI,DUB,2019-03-29,€5.000000,39.000000 kg,9.870000 L,386 km
DUB,ORY,2019-03-30,€6.000000,248.350000 kg,26.560000 L,849 km
ORY,LHR,2019-04-03,€5.000000,110.180000 kg,17.150000 L,417 km
LHR,CDG,2019-04-03,€5.000000,87.000000 kg,13.920000 L,396 km
CDG,ARN,2019-04-04,€10.000000,416.000000 kg,39.490000 L,1589 km
ARN,HEM,2019-04-06,€5.000000,124.990000 kg,18.040000 L,452 km
HEM,LHR,2019-04-19,€12.000000,518.770000 kg,48.410000 L,1901 km
LHR,YVR,2019-04-19,€55.000000,2382.000000 kg,205.820000 L,7625 km
YVR,LHR,2019-05-24,€55.000000,2382.000000 kg,205.820000 L,7625 km
LHR,LGA,2019-05-24,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,LHR,2019-05-26,€37.000000,1587.960000 kg,138.400000 L,5593 km
LHR,LYN,2019-05-30,€6.000000,233.520000 kg,25.370000 L,802 km
LYN,MAN,2019-05-31,€8.000000,306.910000 kg,31.260000 L,1044 km
MAN,GLA,2019-06-01,€5.000000,77.000000 kg,13.920000 L,362 km
GLA,LHR,2019-06-07,€5.000000,155.000000 kg,18.480000 L,604 km
LHR,BCN,2019-06-07,€7.000000,297.000000 kg,29.620000 L,1197 km
BCN,LHR,2019-06-12,€7.000000,297.000000 kg,29.620000 L,1197 km
LHR,CFU,2019-06-12,€13.000000,563.390000 kg,52.080000 L,2086 km
CFU,LHR,2019-06-15,€13.000000,563.390000 kg,52.080000 L,2086 km
LHR,GDN,2019-06-15,€9.000000,386.170000 kg,37.680000 L,1365 km
GDN,LHR,2019-07-20,€9.000000,386.170000 kg,37.680000 L,1365 km
LHR,MAD,2019-07-20,€7.000000,300.000000 kg,29.360000 L,1292 km
MAD,LHR,2019-07-23,€7.000000,300.000000 kg,29.360000 L,1292 km
AMS,LHR,2019-08-13,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,YVR,2019-08-13,€55.000000,2382.000000 kg,205.820000 L,7625 km
YVR,LHR,2019-09-06,€55.000000,2382.000000 kg,205.820000 L,7625 km
LHR,LGA,2019-09-06,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,LAX,2019-09-07,€24.000000,1023.260000 kg,90.480000 L,4020 km
LAX,LHR,2019-10-25,€67.000000,2885.000000 kg,248.600000 L,8806 km
LHR,SYD,2019-10-25,€41.000000,1767.000000 kg,154.170000 L,5564 km
SYD,LHR,2019-12-06,€106.000000,4602.000000 kg,394.170000 L,12102 km
